ID,Text,human_labels,id,llm_labels,masi,error_type
84,"The answer is to have a competent asylum process that processes people quickly and promptly with a rapid appeals process so that actually the people who are genuine asylum seekers can be accepted and those who are not, who are economic migrants, can be rejected. But the truth is that the Conservative Party have allowed mass immigration in the last two years deliberately in complete contrast to what they promised election after election after election. One person is arriving legally every minute. That means we need to build a new home just for those arriving every two minutes. How many leave? How often do they leave? That's the net number. How many do they leave? The net number in 2023 was almost 700,000 people, just below the net number in 2022. So those numbers I've just given you, that is the net increase. We're not building enough homes for our own people, let alone the homes for people... No, we're not.","{200, 1401, 1400, 230}",84,"{100, 104, 201, 200, 1400, 1401}",0.8585714285714285,Mixed/Mismatch
85,"Well, look, this might be an immigration election, but it is definitely going to be a cost-of-living election. And one thing that we can do to help the gentleman who asked the question is about ensuring that you keep more of your money. We will cut your taxes. Labour will put your taxes up. Was that the question? If you're having more agency, being able to get onto the property ladder, that is the key in this general election.","{1410, 100, 230, 200, 107, 1400}",85,"{100, 230, 200, 107, 1900}",0.8114285714285714,Mixed/Mismatch
86,"The problem is... Hear me out, Harry, this is really important. Tens of thousands of people are here not processed. They're here for life. That's not a deterrent. If it was a deterrent, the numbers wouldn't be going up. They're going up.","{200, 230}",86,"{200, 1300, 230, 1302}",0.665,Over-tagging
87,"So Lorenzo, your question started by saying, talking about houses, roads and GPs. We need to build 150,000 social homes a year to tackle the crisis in our housing. The roads are in a mess because the Conservatives have cut local authority budgets between 25 and 40%. That's why public services are on their knees. and the Conservatives promised at the last general election to recruit 6,000 GPs. We now have fewer GPs per head right across our country. That's why our public services are on their knees.","{100, 325, 105, 300, 1400, 1406}",87,"{100, 300, 301, 1300, 1302, 1400, 1401}",0.901,Mixed/Mismatch
88,"This is terrible leadership on the part of Donald Trump. It's also appalling leadership. on behalf of the Prime Minister, who can't even be bothered to come here and answer these questions for herself today. But it's no surprise either. He was very clear during his election campaign what it was he would be about in terms of climate change, and he is sticking to his line. But he is wrong, and the world needs to tell him he is wrong. It's bad business. It's bad, bad business.","{705, 1930, 700, 1900}",88,"{705, 700}",0.665,Under-tagging
89,"When somebody is diagnosed with a dreadful illness, my instinct is to view them as a human being, not consider what country they come from. I want to go back to something Ed Miliband said earlier on. He said there should be limits on the privatisation of the National Health Service. I'm sorry, Ed, I take a very different view. There should be no privatisation of the Health Service. Our National Health Service is far too precious to give it up for private profit. And to Nick Clegg, you legislated to allow 49% of hospital beds to be used by the private sector. My message to people in England, Wales and Northern Ireland, if there are SNP MPs in the House of Commons after the election and you want to roll back the tide of privatisation, we will be your allies in doing that.","{108, 100}",89,"{108, 100}",0.0,Perfect
90,"Is that fair? Do you feel, do you sleep happy at that? The public sector has been restrained in its pay to 1% increase. Of course there will be those working within the NHS, nurses and others who will get progression pay increases as well as their 1%.","{105, 100}",90,"{105, 100}",0.0,Perfect
91,"This is not a US presidential election. We're here to debate the issues in British politics. If you take a step back, why is he here? He's here because of a NATO summit to discuss our security. And that is something that is incredibly important. The relationship we have with America is incredibly important for keeping us safe. The intelligence that is shared keeps all of us safe every single day. And that's not something to turn your nose at. It's something that we should be welcoming. But I'll say this. It is important when we're electing a British prime minister that they are someone who's not able to sustain that relationship, but they are also able to sustain those alliances that keep us safe. NATO is something that I believe and my party believe is crucial to global security. Jeremy Corbyn has described something that is a threat to global security and a danger that should be abolished.","{1930, 1900, 1926}",91,"{1600, 1603, 100, 103}",1.0,Mixed/Mismatch
92,"There's still three weeks left in this campaign and all I would say is to anybody that thinks that you can predict the outcome of the election in the middle of the campaign, ask Theresa May how that worked out last time round.","{2000, 2012}",92,set(),1.0,Missing (False Negative)
93,"It makes no sense to spend £100 billion when we have so much social need. We must recognise the role that we have played in the past, the decisions that our governments have made, in making the world a much less safe place. Now, Plaid Cymru was strongly opposed to the wars in Iraq and Afghanistan, and we've tried hard to hold the former Labour government to account for the decisions that it's made. But we're adamant that our communities can't be made safer just by pursuing defence. A strong diplomatic presence is required, too, in order to promote justice and human rights. We can't justify spending £100 billion on a new generation of weapons of mass destruction in the form of Trident, and so we should pursue a policy instead of reversing our role in the world to be a haven for human rights and a beacon for conflict resolution and peace.","{1600, 1610, 1900, 1920}",93,"{1600, 1610, 1900}",0.49749999999999994,Under-tagging
94,"Come down to the picket line with me next time, and we'll try and find someone who says that's why they're leaving. I won't be on the picket line.",set(),94,set(),0.0,Perfect
95,"I haven't given him any undertakings about anywhere, and I don't make the decision according to what the President of the United States might want. I make it according to what I think are in the interests of this country, and if you look at the military action we've taken, in respect of Kosovo, right, well we could have opted out of that too, but look what happened in the early 1990s when hundreds of thousands of people died in the Balkans. We took military action in Afghanistan, look at the democratic election that's happening there. We took the action in Iraq and I explained that already. We took the action in Sierra Leonie where we saved a country' democracy from a gang of murderous gangsters, you know and, and am I going to do - no, I'm sorry, I, I think we can be proud of what the magnificent British Armed Forces have done, and those decisions, some of them, particularly Iraq, were very difficult.","{1920, 1930, 1900, 1910}",95,"{1600, 1608}",1.0,Mixed/Mismatch
96,"I think you ask an absolutely key question. I'm not saying everything is perfect. I'm saying we have not finished the work. That's why I'm so keen to do another five years of continuing to get the country back to work, to build a strong economy, to pay down our debts, and to hand on a really good country to our children. That's what this is all about. I'm not saying we fixed it. It takes a long time to fix the mess that I was left to clear up. But what I would say is we're halfway through a building job. Now, you can keep the team that are building the strong economy or you can go back to the team, frankly, the ones that designed the building that fell down in the first place. I think that would be a terrible mistake.","{105, 100}",96,"{105, 100}",0.0,Perfect
97,"I'm focused on getting our Liberal Democrat policies over so we can get lots of Liberal Democrat tuition fees. That's not a no. Listen, I'm here. I'm enjoying being on your programme so I can get our Liberal Democrat policies over.","{2000, 2012}",97,"{600, 601}",1.0,Mixed/Mismatch
98,"Why university fees? I think we should invest in education for the future and I do think that abolishing university tuition fees means that any young person has then got the chance to go to university if they can get in. If you look at the process of applications at the moment, the number of working class students is dropping, the number coming from poorer communities is dropping. I want to see real access for everybody. I think that's the right thing to do. It would not be unusual in many other parts of the world to do this. Listen, as a young person, basically, I had the offer of free education. I didn't take it up. That was my choice, and I'm not complaining about it. I don't think it's up to me and my generation to pull up the ladder on the generations that are coming behind. I want to see an education system that really does work for all, so that every child can develop to their full potential, irrespective of their background and the life chances they were given at birth.","{600, 601, 603}",98,"{600, 601}",0.5533333333333333,Under-tagging
99,"I want us to stay in the EU, Veronica. And as you say, it's not my priority to have a referendum whether we should leave the European Union. Let me explain why. I think when I look at our country, I know what my priorities will be as Prime Minister, to tackle the cost of living crisis, to rescue our NHS, to build a future for our young people. I think leaving the EU will be a disaster for our country because I think we rely on its jobs and the trade we get from being in the EU. I think strategically for Britain, whether you want to tackle terrorism or climate change or a whole range of issues, we've got to be an outward-looking country. And so it's not my priority. Now, I have said, and this is unlikely to happen, but I have said that if there's a transfer of powers from Britain to the EU, a further transfer of powers, we'd have an in-out referendum. But it's not likely to happen. And look, that's what leadership's about, is saying what your priority is. I don't want us to leave the EU, so why would I call a referendum in 2017 and plunge the country into two years of debate about something I don't want to see happen?","{1900, 1910}",99,"{1900, 105, 100, 1901}",0.9339999999999999,Mixed/Mismatch
100,"Well, it obviously depends on what their earnings are.",set(),100,set(),0.0,Perfect
101,"No, it's not, sir. Can I just say to you, as I've just said, It would have been the easiest thing in the world for me, having become Prime Minister after the referendum when David Cameron resigned, to say, you know, the next election is not till 2020. This is a good job. I enjoy doing this job. I want to do it. In this job, I do what I believe is the best for Britain. I could have stayed on doing that job for another couple of years and not called an election.","{2000, 2032}",101,"{105, 100}",1.0,Mixed/Mismatch
102,"If you're a pensioner, you should know there is a retirement tax coming for you, capital R, capital T, if he is your Prime Minister. For the first time in our country's history, pensioners are going to be paying tax because he won't match our triple lock plus. If I'm your Prime Minister, that won't happen. And that's what I'll deliver for you. As I say it again, do not surrender your finances to their tax rises.","{107, 100}",102,"{105, 100, 1300, 1303}",0.9339999999999999,Mixed/Mismatch
103,"It's heartbreaking. Any war zone is heartbreaking, of course. And the more we can do to bring wars to an end with a negotiated settlement, the better, the faster, clearly.","{1900, 1901}",103,set(),1.0,Missing (False Negative)
104,"And for that alone you should apologise. So when you look at where the Labour Party is now compared to where it was, we're in a better place. We will end austerity. We will invest in our communities again. We will end tuition fees. We will give kids the education they deserve. And we'll stop older people dying on trolleys, not getting the support that they need at the moment. That's what Labour's promising now.","{100, 105, 300, 301, 600, 601}",104,"{100, 105, 300, 301, 1300, 1303}",0.835,Mixed/Mismatch
105,Yes.,set(),105,set(),0.0,Perfect
106,"Because under the Tories, they've frozen the threshold at which you start paying income tax and therefore for too many people, particularly in industries like hospitality and social care, work doesn't pay. That's the reality. That's why if you lift the threshold to £20,000, automatically that's an extra net £1,500. purpose.","{107, 100}",106,"{107, 100}",0.0,Perfect
107,"because we are, look at what we've done already with nurses, there are 17,000 more nurses now than there were in 2010. And yes, look, if you want my view on this, yes of course I want more GPs. And of course I want more investment in the NHS. And we're putting in now the biggest ever cash boost into the NHS under this One Nation Conservative government. And we will get more GPs, 54 million GP appointments, more GP appointments between now and 2025. We will do that because we are putting the sums, and it's not just that we're building new hospitals, we're investing in people as well. Do you want the answer? The answer is that we're upgrading 20 and as a result of the decisions that we've taken... No, as a result of the decisions that we have taken, in 10 years' time, 40 new hospitals will have been built. And yes, we're starting...","{300, 325}",107,"{325, 300, 301}",0.5533333333333333,Over-tagging
108,It's a completely hypothetical question. It's a completely hypothetical question. We have to look at the evidence that's there at the time.,set(),108,set(),0.0,Perfect
109,"Thank you. Well, thank you for your question. The NHS in particular, it's an act of faith for the people of this country. They want to be able to rely on it. But since the COVID pandemic, the caseload that our healthcare professionals are dealing with has gone up by 43%. The only way that we can reduce those waiting lists is to keep the NHS budget strong. That we have done, that we will continue to do. The only party on this platform that has ever cut the NHS budget is Labour. they've got it three times in Wales and we have to increase the number of healthcare professionals that we have. We have been doing that, 70,000 more nurses for example, we have to continue that and we won't do if we can't retain them in the service because they're being taxed out of it because of their pension.","{331, 300, 325}",109,"{105, 100, 325, 300}",0.868,Mixed/Mismatch
110,"Well, I think that we conducted ourselves constructively, and in the way in which I like to conduct my politics. Not just by name calling, by making the rational case for opposition, and as we now are in this election, maintaining it by being the only one of the three parties saying, with the United Nation's mandate expiring at the end of this calendar year, we should now be working and planning towards the phase withdrawal of the British troops, as part of that occupying force, and bringing our forces home.","{1920, 1900}",110,{1900},0.665,Under-tagging
111,"I think any voter in Scotland who wants to impact our economy, impact our NHS, should vote for the parties who want to cut migration, which is the Labour Party, the Conservative Party and Nigel Farage. And this is a consequence of us being led down the garden path by the right wing in British politics for far too long. We need to stand against it, we need to promote our economy, promote our public services and to do so by promoting migration.","{529, 500}",111,"{105, 100, 301, 300}",1.0,Mixed/Mismatch
112,"The figure that you're left with at the moment is £23,000, so we're actually quadrupling that.",set(),112,"{105, 100}",1.0,Hallucination (False Positive)
113,You're talking about people lying.,set(),113,set(),0.0,Perfect
114,"And that's the real problem, isn't it?",set(),114,set(),0.0,Perfect
115,Let's put power back in the hands of the Scottish people and take it out of politicians at Westminster. I'm sure the Labour Party would back that premise.,"{2000, 2001}",115,"{200, 201}",1.0,Mixed/Mismatch
116,"We are committed to scrapping tuition fees. I think they are a barrier to many young people going to university, particularly from poorer backgrounds. We would reinstate student grants for those students from working-class areas. What we would also do is improve vocational training. We would create more vocational schools. As I said earlier, we would look at the German system, whereby you have on-the-job training whilst attending a vocational school. This would give many young people in our country a trade which they can go on throughout their life and apply, whether that's being an electrician or a plumber or a bricklayer, they will learn to do things with their hands. Also, we will have a house-building programme 250,000 affordable homes every year. A brownfield revolution which will allow young people to get on the housing ladder.","{1400, 1401, 600, 601, 603}",116,"{1304, 1300, 1303, 600, 601}",0.9175,Mixed/Mismatch
117,Sure.,set(),117,set(),0.0,Perfect
118,"Mr. Clegg. I think on this matter we do. I don't agree, I've made it publicly clear in the past, that I don't agree with the formal doctrine on homosexuality of the Catholic Church, for instance. I don't agree with it at all. It doesn't mean I don't, you know, I think there should be some you know, uprising against the Pope's visit, quite the reverse. I would like to see the Pope here. I think the Catholic community in Britain wants to welcome him. But, you know, as I think we've all acknowledged, that doesn't mean one has to subscribe to every letter and every cross-T and every dotted I of the theology and doctrine of that church.","{200, 202}",118,"{200, 201}",0.89,Mixed/Mismatch
119,This is Nigel telling us he doesn't believe in the NHS. This is what he's doing. He's telling the public he does not believe in the NHS.,"{300, 301}",119,set(),1.0,Missing (False Negative)
120,"Well, Bridget, first of all, thank you for your advocacy for these causes, because they do really matter. And I think making sure we treat retired people with dignity and security in their old age, after a full working life, is one of the most important things we can do as a country. And that's why I've been so clear that the pensioner benefits, like the free TV licences, the free prescriptions, the winter fuel payments, they will continue for everybody. I think it should be your right and we need to make that very clear. I was asked this question the other day about should we have a dedicated older person's representative in the cabinet. I will think about it but I'm a little bit worried about it on this basis. I don't want older people's concerns to be sort of restricted to one person in the cabinet. I want every one of my ministers to be thinking, how do we treat senior citizens properly? I want my health minister to be thinking, how do we treat people in our hospitals and in our care homes? Are we doing this right? I want to make sure that our education minister is thinking about through life education that some people want to continue with forever. I want to make sure that our defence minister is thinking really carefully about veterans and their needs as they grow older. So I'd be worried about possibly having one person and saying they were the only person who thought about older people. In the end, as I said to this meeting the other day, if we're not doing right by older people, don't blame all my men, blame me, because I lead the government and I think we've got to get this right. But pensioners have been absolutely key to this government about uprating pension in line with earnings, prices, or 2.5%, the so-called triple lock. so that pensioners have been protected from some of the difficult decisions we've had to take.","{1600, 1609, 1300, 1303}",120,"{107, 100, 1300, 1303}",0.89,Mixed/Mismatch
121,"First of all, yes, we are the only party... Your plan is to move out by Christmas? That's right. The UN mandate, the current United Nations mandate for the occupying forces expires at the end of this calendar year. And we have argued, we're the only party arguing this, obviously in the election, that we believe there should now be a phased withdrawal of British troops with that deadline in mind. I think, obviously, we profoundly disagreed with the decision to go to war in Iraq. And I think everybody knows that. We were the only party that opposed it in Parliament. We are where we are. We have got 8,000 British service personnel still out there in Iraq. And I'll tell you what made me angry today, because this issue has been, as you know, in the headlines. When the Prime Minister said this morning that the published advice of the Attorney General, which had to be absolutely dragged from him, we've been calling for this for the last year and a half, represented a damp squib. I say to Tony Blair, go and describe these findings as a damp squib to the families of the British service personnel who gave their lives in Iraq, and to the innocent Iraqi citizens who were killed.","{1920, 1900}",121,"{1600, 1603, 1900, 1920}",0.665,Over-tagging
122,"Well, misogyny, racism, discrimination has absolutely no place in our society, but particularly when it comes to the police, because they're people that we look to to protect us and trust. And all the things that we've seen and read about over the past year or two have been really appalling and shocked us to a core, because we thought, hang on, the people that we put our trust in There are a small minority, and we shouldn't tar the entire police force with the actions of a small minority, but a small minority of people who were behaving in a way that was completely reprehensible.","{200, 201, 202, 1200, 1209}",122,"{200, 201}",0.732,Under-tagging
123,"There's no doubt the country is going to have to come together to deal with this really big problem of the deficit. I mean, for every £4 that we spend right now, the government is borrowing one of those pounds. But Nick keeps saying he's being very straight with you. In his manifesto is a promise for a £17 billion tax cut. It's a great idea, I'd love to do it, but we don't have £17 billion for a tax cut.","{105, 100}",123,"{105, 100}",0.0,Perfect
124,"I've said that I think no deal would be better than a bad deal. Now, I'm confident we can get a good deal with the right plan for those negotiations because I think a good deal is in our interest and in the interest of the rest of the EU. But we have to be prepared to stand up for Britain. We have to be prepared to go in there recognising that we're not willing to accept a bad deal.","{1900, 1910}",124,{1900},0.665,Under-tagging
125,without any clarity as to where they're actually going to be.,set(),125,set(),0.0,Perfect
126,Okay.,set(),126,set(),0.0,Perfect
127,"We'd like to, but you're right, and other people like the IFS are right, the money isn't there to do everything we want. So when we publish our manifesto you'll see that actually raising that is a priority when the public finances allow.","{105, 100}",127,"{105, 100}",0.0,Perfect
128,"Absolutely. So people who take more than three return international flights a year, those frequent flyers would pay more under our plans. And it is those people who take the many, many, many flights that we need to target with those.","{107, 100}",128,"{107, 100}",0.0,Perfect
129,"What you can say is, here are the number of people that are actually currently applying for asylum","{200, 230}",129,set(),1.0,Missing (False Negative)
130,"We are one of the only parties here, I think, who want to cancel HS2. And it's the opportunity cost of investing in such a big project when we could be investing in the local sustainable transport that people are crying out for. People are trapped in their cars. They want better buses. They want better local transport. They want to be able to walk and cycle. And that's where we differ on HS2. We like Eurostar. We like high speed rail. But that project at this moment, we could spend that money so much better in other places.","{1000, 1005, 1006}",130,"{108, 1000, 1003, 100}",0.945,Mixed/Mismatch
131,"I just want to be very direct. We have taken some people from Syria, some of the most vulnerable people, including elderly and disabled people. But the most important thing we can do in Syria is maintain the fact that we are one of the biggest, I think the second largest, bilateral aid donor helping people in those refugee camps to be fed, to be housed, to be clothed, and try to find a solution so they can go home. There are about six million people or in danger of being refugees, we cannot take all those people in. So it makes sense to use our aid budget to try and help them in the region and then help them get home.","{200, 1900, 1901, 230}",131,"{1900, 1901}",0.665,Under-tagging
132,"My question is also to Angela Rayner, given the convergence between Labour and the Conservatives on public spending. Maybe I should ask if Labour would accept Penny Mordaunt into your party, but I'll ask this. Gordon Brown said child poverty is a scar on the soul of Britain. Now, is it the likely incoming Labour government's two-child benefit cap or the £18 billion worth of cuts to public services which will make the situation worse?","{105, 100}",132,"{105, 100}",0.0,Perfect
133,"Well, the WASPI issue, as everybody knows, is a very difficult problem caused by a change in the pension age for women who retire at a certain age. And I do sympathise deeply with the position of the WASPI women. And we have looked at it and looked at it and looked at it. I would love to be able to magic you any solution. It is very expensive to come up with the solution that you want. And I'm going to be honest with you tonight. I cannot promise that I can magic up that money for you tonight. All the demands that the WASP women make. We are going to look at it, but it is not possible to satisfy all the demands of the WASP women. I'm going to put my hands up and confess that.","{1300, 1303}",133,"{105, 100, 1300, 1302}",0.9339999999999999,Mixed/Mismatch
134,"I think we've discussed this at some length about the aspirations we all have. I do not want to be responsible for the destruction of millions of people, neither do you. Therefore we have to work for a world where they're not available and not used.","{1600, 1610}",134,{1600},0.665,Under-tagging
135,"Look, if Brexit hadn't happened, do I think right now... I would still support independence, OK? I'm not going to pretend otherwise. But do I think right now we'd be standing here talking about having another independence referendum so imminently? Probably not. But circumstances have changed dramatically. And in a democracy...","{2000, 2001}",135,"{200, 201}",1.0,Mixed/Mismatch
136,And a lot of people make a great deal of money out of the poverty of those people. I am astonished that the Labour Party is now aping UKIP in using the same arguments about immigration. The single European market really matters to all of us right across the UK. And a free movement of people really matters too. Why don't you stand up to the Tories and say we want to remain within the single European market because it matters to jobs of people from Britain and the rest of Europe.,"{200, 1910, 1900, 230}",136,"{1900, 107, 100}",0.945,Mixed/Mismatch
137,"But I would say that actually it's to do with the Conservatives' choices, because at the same time as eroding all of that investment, they've made choices to give a tax cut to the big banks. But on the issue of immigration, I would say the Conservatives have made a complete mess, both of migration system, but also of the asylum system. And we have the worst of both worlds. We have people who are desperate, who are fleeing war and persecution, arriving on small boats. And at the same time, we have our NHS, our social care, we have hospitality and engineering. None of them can recruit the staff that they need with the skills to boost our economy. So Liberal Democrats have said on care in particular, we should give care workers a higher minimum wage, £2 higher, invest in our care workers, give them status, give them progression in the workforce. And then when we still have skills gaps, invite people in from other countries and welcome them when they come.","{100, 230, 200, 107, 529, 500, 505}",137,"{200, 105, 100, 201}",0.9266666666666666,Mixed/Mismatch
138,"Paul, that is complete nonsense, if I may say so. Our corporation tax has been consistently lowered by this government with the support of the Liberal Democrats since 2010. What we're proposing is to put it up during the lifetime of Parliament to 26%. That is less than it was in 2010. And if you put that corporation tax up, you're then in a position to deal with the crisis in social care, the crisis in our NHS, properly fund our schools, and not ask headteachers to collect... And I would just say this since Amber Rudd seems so confident that this is a country at ease with itself. Have you been to a food bank? Have you seen people sleeping around our station? Have you seen... ","{107, 100, 1300, 1302}",138,"{107, 100}",0.665,Under-tagging
139,"Yes, I think so. I think that fitness and politics isn't just about personal well being, but I think it's fitness in terms of a direct approach with people, established over many years, and I hope people feel I have that.","{2000, 2012}",139,set(),1.0,Missing (False Negative)
140,"If you listened to me a few minutes ago, I said that climate change is real. But it's much cheaper to adapt to it than foolishly think you can stop the power of the sun. Net zero is the wrong thing at the wrong price in the wrong time frame. Do you know what it's doing? It's killing our jobs. It's killing our industries like the steel industry, the automotive industry. It's killing our economy. And it's killing old people who can't afford their heating bills.","{705, 700}",140,"{800, 705, 700, 805}",0.665,Over-tagging
141,I don't think so at all.,set(),141,set(),0.0,Perfect
142,I'm sorry to shut you down.,set(),142,set(),0.0,Perfect
143,"You're not answering the question, David, as usual.",set(),143,set(),0.0,Perfect
144,"Well, you'll have a set of sanctions and incentives, and we will look at the models that are existing around Europe to get the appropriate mix of those. There's a range of different options that exist.","{1900, 1910}",144,"{1900, 105, 100}",0.9175,Mixed/Mismatch
145,"We need to put... We need to put money and resource into Grimsby. We need resource decision-making to come. So we have to be bold enough in government to release that so that there's more power here in Grimsby. They're difficult things to do. Governments haven't done that in the past, but we have to do that. Some of it we can do straightaway. The potholes that are driving everyone mad because their cars get damaged, it costs them hundreds of pounds, and if you need your car or your van for work, it's a complete nightmare because you can't actually use it. That can be done straightaway. We've been setting out our plans on that. Childcare came up this morning in a discussion I was having. We want to create 100,000 new places for childcare. This is at 3,000 nurseries around schools, because I think primary schools are the best place for nurseries. So that means children get the opportunity to develop the skills that they need before reception year, which isn't happening in the way it should at the moment, in my view. But also, parents and carers can go back into work, which many of them want to do, and that then helps the local economy. There are things that we can do. It goes back to my point. We've got first steps, the things we want to do, the day we get into government. If we're elected in, that I want to start, and I've said to my Shadow Cabinet, I want you to prepare months ago for the first day in government. I don't want you picking up the phone on day one. I want to know you're ready. And that's why I'm so confident that we can do this as soon as we get the chance, if we do get a chance, to bring about the change this country so desperately needs.","{1000, 1002, 500, 508}",145,"{105, 100, 1300, 1302}",1.0,Mixed/Mismatch
146,"I'm not going to have a European army. But let me explain. I think I've said that a number of times. Look, let me explain the point about Europe, because Nigel raises it. Think about the problems that we have in the world. Think about the issue of Russia, where we need sanctions to remain in place and, if necessary, to be stepped up. It's Europe and America working together. Think about the battle against ISIS. Look, ISIS is a disgusting, evil organization, and we must give them no quarter and defeat them at home and abroad. But we've got to do it by cooperating across borders, and this is this fundamental point for us as a country. We've got to learn the lessons of the past. We can't have Britain thinking it can solve the problems of the world on its own with the United States. That is the lesson of the 2003 Iraq war. But at the same time, we can't withdraw from the world, because otherwise those problems will visit us here at home.","{1920, 1600, 1930, 1900, 1909, 1910, 1627}",146,"{1600, 1603, 1900}",0.9175,Mixed/Mismatch
147,"Can I just remind you that in 2005, Theresa May voted against the anti-terrorist legislation at that time. And she voted against it, as did David Davis, as did a number of people that are now in your cabinet, because they felt that that legislation was giving too much executive power. My opposition to anti-terror legislation isn't opposition to protecting us from terrorism, it is simply saying there must be judicial oversight over what is done in our name. You cannot give...","{1200, 1211}",147,"{104, 1627, 1600, 100}",1.0,Mixed/Mismatch
148,"...the thing, it will depend on the local circumstances.",set(),148,set(),0.0,Perfect
149,"Well, the facts are clear. Under the rules that we passed in 2012, this person would not be out of prison. And we have actually invested more in counter-terrorism and in the police. But the key is this. It's not just about resources. It's about powers. We want to do more stop and search, Labour opposes that. We want to do tougher sentencing, Labour opposes that. These are the things that will make a difference in our security.","{1200, 1211, 1205}",149,"{1600, 100, 103, 1200, 1205, 1627}",0.9057142857142857,Mixed/Mismatch
150,"Just answer that. Yes, because at the moment, we've had flat growth and really poor growth in this country. And we're not going to be able to tax our way out of the disastrous situation that has left us in. But what we are going to do is we're going to have a growth strategy with an industrial strategy, with a skills strategy, which will enable us to grow the economy so that we can pay for our public services. We can't tax our way out of this. We've got the highest tax burden. Exactly what you were going to do.","{107, 100}",150,"{105, 100}",0.89,Mixed/Mismatch
151,"Yeah, so Big Stick we were hearing about, is that what you're going to give? So we need to have resources. I mean, Cressida Dick said today that she did not favour and didn't think it would make us a safer country if we armed every officer in the UK. I agree with her. But that doesn't mean we shouldn't have more resources. And of that £300 million the Liberal Democrats would give to our police forces, some of that would, of course, go to ensuring we did have that capability. There's a question about people being allowed back in the country. And that's a really good question, given that we had a question about the powers that we do or don't need. So the government has, the Home Secretary has, the power to issue temporary exclusion orders. In the last two years, she's used one. One. In those two years. And we know of people who potentially could have been stopped. It's not, do we have the powers? It's, do we use the powers?","{1200, 1209, 1211}",151,"{1200, 105, 1209, 100}",0.868,Mixed/Mismatch
152,Killing somebody actually happened outside Parliament a month ago. Yes. And I think you have to look at all the evidence that's there. But you can't answer a hypothetical question without the evidence around it.,set(),152,set(),0.0,Perfect
153,"Yeah, let me do something that I don't very often do. Oh, no. No, don't be worried. Praise Boris Johnson. Wow. I didn't agree with him on lots of things, and I thought the way he conducted himself in Partygate was a disgrace and he got kicked out of Parliament. But to be fair, On Ukraine, he took a strong position. I was leader of the opposition, and I said we will support the government. And so there's been unity in Parliament from the outbreak of that conflict and Russia aggression there. And I thought that was important, Boris Johnson thought it was important, because I think we both took the view that the only winner, if there was a split in our politics here in the UK, would be Putin. He wanted to see division in other countries, and we didn't allow him. So, I do think... And I've also supported Rishi Sunak on this, and Liz Truss for the brief time that she was Prime Minister. And I still continue to do so. So, even where there might be small disagreements between us, I think it's in the national interest, the country's interest, that we speak with one voice on something as important as Ukraine. And we will continue to do so, and I've had the opportunity to meet President Zelensky, I went to Kiev to see him, to say, should there be a change of government, there won't be any change in the support for Ukraine, because I think it's fundamental for Ukraine and for our own freedom here in this country.","{1900, 1909}",153,"{1900, 1926}",0.89,Mixed/Mismatch
154,Yes.,set(),154,set(),0.0,Perfect
155,"Absolutely, Adam. I wholeheartedly agree. This is an opportunity for us as a country to take a real lead. And if you look at what the great success story has been in the last few years, if we were having this debate six or seven years ago, people were saying renewables, they're really expensive and they won't be so reliable. there was no offshore wind. We are now in the UK a leader, world leader, in offshore wind. It is now the cheapest way to generate electricity. Because of the support for that industry that was put in by the Liberal Democrats when we were running the climate change department, that has created a great British industry. It's cutting energy bills. That's a great example of what we need to","{800, 806}",155,"{705, 700}",1.0,Mixed/Mismatch
156,"Are you talking to me or Rishi? Thank you. You don't need to be here, Rishi, because that is exactly... What's your plan, Angela? This is an election campaign. What's your plan?",set(),156,set(),0.0,Perfect
157,"Yeah, well, we've said in the manifesto, in the costings, we've pointed to a number of tax rises, and I'm talking about the one of clamping down on people who aren't paying their fair share of tax. The way to do that is to have more tax inspectors. Her Majesty's revenue customs have been cut back dramatically, and they can't do the job. And so if you talk to the experts, they reckon for every pound you spend, in tax officials and the technology for HMRC, you can raise £18. Now, we haven't put that in our costings. We've just said an extra £7. So I think we've been quite cautious. and I think the money can be found. It's about the political will. And look what you can do with it. Our NHS is on its knees. It's on its knees. People can't get GPs. There's no NHS dentist. They're having to wait hours for ambulances. And on the care system, people are going without care. That is just wrong.","{107, 100}",157,"{107, 100}",0.0,Perfect
158,"Well, our deal actually allows the United Kingdom to leave the EU intact as one UK and respect the result of the referendum. What would be bad for the Union is to spend years more arguing about referendums on Brexit again and on Scotland. That would be divisive. It would not bring people together. And maybe if I could pose a question, because hearing about all these deals, Nicola, if you are going to be ending up propping Jeremy Corbyn in number 10, and we have all these second referendums, which one will you insist comes first, the one on Scotland or the one on Brexit?","{2000, 2001, 1900, 1910}",158,"{200, 105, 100, 201}",1.0,Mixed/Mismatch
159,"We've got to resolve them. And for months and months and months, the Prime Minister hasn't resolved them. They've been arguing about who gets in the room. You've got to get in the room, you've got to resolve it, because the NHS needs to get back to work. But we've also got to bring down the waiting list. We've got a plan. for 40,000 extra appointments each and every week. That's 2 million a year to bring those waiting lists down. They're at a record high. And under the last Labour government, the record was waiting lists right down, satisfaction in NHS at a record high. That's completely been turned on its head.","{504, 500, 301, 300}",159,"{331, 300}",0.9339999999999999,Mixed/Mismatch
160,No.,set(),160,set(),0.0,Perfect
