,id,reasoning,supercategories,claim_labels,watch_labels,text,parsed_watch
487,2212,"The excerpt discusses the need for economic investment to stimulate growth and job creation. It also mentions the risk of withdrawing funds, which could lead to negative economic consequences.  The text also mentions a specific instance of a party pulling out money during a recession. This suggests a discussion about taxation and government spending.",[100],[105],[105],"The risk to the economy is this year, and every country, America, the rest of Europe, including Britain, is saying we've got to make sure we invest in the economy this year so that we can have the growth we need. Now, pull out the money, and you've proposed it at every point during this recession. Pull out the money, and you'll have less growth, you'll have less jobs, and you will have less businesses. Now, that's the fear. We've got to take an overall responsibility for the whole economy.",['105']
488,2216,"The text discusses the potential outcomes of different Brexit scenarios, focusing on the implications of a free trade deal versus the existing agreement.  There are references to economic consequences (""years of misery"") and the potential for public dissatisfaction.","[1800, 1900]",[1803],[1803],"As it is, it doesn't work. As it is, if it goes through... If it's oven-ready and it goes through as it is, we're headed for years of misery. Now, Boris Johnson said, after the election was called, that we would go back to Brussels and negotiate a free trade deal in line with the Canada plus plus agreement. If you stick to that and you amend the political declaration, then we will get something like Brexit. If you carry on with the deal as it was, it is not Brexit, it will take years to deliver and millions of people will be very upset and disappointed. So the question is, is it oven ready or are you going to go for a free trade deal?",['1803']
489,2222,"The text discusses the Rwanda scheme, which is related to immigration policy (200). There is also mention of the financial constraints faced by both Labour and the Conservative Party (105). 

```json","[200, 100]",[105],[105],"I'm happy to bet with anybody that the Rwanda scheme will not happen at all, and not just because the Tories are not going to be in government in any event. It's a nonsense, it's a gimmick. It panders to the worst kind of instincts of people. It's not going to happen at all. So to go back to the lady's question, working with immigrants, it is going to have to be about resources being put into the Home Office, and also into the housing and the other facilities available for people, whilst we have this huge backlog of refugees because they've not dealt with it. But the one thing I would say, the most important thing in this election is to bear in mind, the money's not going to be there. both the parties, Labour and Tory, £18 billion short. That's what the IFS says. They're not going to have the money to do these things. That's the biggest problem we've got, and it won't deal with the long-standing problems of refugees, it won't deal with policing, it won't deal with crime, because the money is not there, either from Labour or the Conservative Party.",['105']
490,2227,"The excerpt discusses reducing national insurance for self-employed individuals and small businesses, which falls under the category of taxation. It also mentions maintaining good relations with Europe, which relates to international affairs.

```json","[100, 1900]",[105],[105],"And the second thing we'll do for you, for all those people like you who are self-employed and others in small businesses, I want to abolish your national insurance so that you have more financial security. Now, I'm the person that has made sure that we have good relations with Europe. You can all see that. And we will continue to do so. But the best way I can help your small business and the hundreds of thousands of others like yours is to continue to cut your taxes, because that's how we'll give you financial security. That's the choice for you at this election. He says he's going to cut National Insurance.",['105']
491,2235,"The text discusses the state of the National Health Service (NHS) and criticizes the current government's handling of it. There are mentions of waiting lists, the government's promises, and the overall deterioration of the NHS. This points to the 300 (Health) supercategory, specifically 301 (Health Care Reform). There is also a mention of the government's performance, which could fall under 2000 (Government Operations).

```json","[300, 2000]",[301],[301],"Janet, I'm really sorry to hear about your own position and that of your relatives. My wife works in the NHS in one of the big London hospitals. My mum was a nurse, my sister was a nurse, so the DNA, it runs through my DNA. And you can imagine just how angry I am that it's been broken, and it has been broken, exactly as you describe. It's unforgivable, what's happened to the NHS. And to come into power for 14 years and leave the NHS in a worse state than when you found it is unforgivable in politics. And Rishi Sunak stood 18 months ago, Janet, and said that those waiting lists, which are now nearly 8 million, he said he'll get them down. He made a promise. He said he'd be held accountable. They were 7.2 million at the time. Now they're 7.5 million. Thank you. And that bears down on the NHS. Vishy Sunak.",['301']
492,2245,"The excerpt discusses the pay freeze for public sector workers, the impact of new education policies on teachers, and the need for trust in teachers' professionalism. This relates to discussions about government policy, public sector employment, and education.","[100, 600]",[602],"[105, 602]","Well, I couldn't agree more with that. Yes, we would absolutely lift the pay freeze. It is quite unacceptable that our public sector workers have been taken for granted for so long, essentially, and not being properly rewarded. And that's one reason why many are leaving the profession. But another reason why is because every time we have a new education secretary, they come up with their latest harebrained scheme and impose it on teachers, thinking that teachers don't have the professionalism themselves to make those decisions. So I come back to the point I made before. It's an important one. We need to trust teachers as the professionals that they are. And that has signally failed to happen both under this government and the previous one as well.","['105', '602']"
495,2255,"The excerpt discusses the need for political cooperation on a large-scale issue affecting everyone. It mentions different party proposals and suggests working together to find a solution. The speaker also proposes a specific action (respite care for carers) that can be implemented immediately.  While there's mention of different party approaches, no specific policies are detailed beyond the respite care proposal.",[1300],[1303],[1303],"I think, Alan, this is one of those rare issues where The issue is so big, and the costs are potentially so great, and it affects every family, it affects every individual, that I think this is one of those issues where I would say it's worth the politicians just setting aside their political differences for once and trying to come up with a solution that everybody can agree with. We've all got different ideas. We have ideas, proposals, that there's a contribution from the individual and the state. David Cameron has ideas which help some, but doesn't help people in their home. Gordon Brown has some ideas which help some of the most needy, but not others. Why don't we for once, given this is something which I think is bigger than any other party, actually work together? There are some things, however, that I think we can do immediately. I, for instance, would like to use the money that the government has allocated for its latest, I think slightly flawed proposals, to give respite care to the carers who look after loved ones, those who look after loved ones for the greatest amount of time, give them respite for at least a week every year. That's something we can do now. Let's come up with a longer proposal together, a longer-term proposal together.",['1303']
497,2259,The excerpt discusses different funding models for the health service and emphasizes the importance of overall funding levels. This points to discussions about healthcare financing and potentially public spending.,"[100, 300]",[105],"[105, 301]","Daisy, you'll have to make it very brief, because I need to get to Carla Denya. The Hill Foundation and the King's Fund have done an analysis of different funding models. They don't materially make a difference to people's health outcomes. What makes a big difference, most of all, is the amount of money you put into your health service.","['105', '301']"
498,2263,"The text focuses on immigration policy, specifically concerning non-EU and EU immigration, and proposes changes to the welfare system for immigrants.  

```json","[200, 100]",[105],[105],"Immigration has not been cut to the tens of thousands. No, it hasn't. You failed. What we did is we cut immigration from outside the European Union. That is down by 13%. We closed down about 800 bogus education colleges, which were really visa factories. But inside the European Union, immigration has increased. I'm afraid not least because we've actually created more jobs in Britain than the rest of the European Union put together. The European Union's economy has been so stagnant that people have come here to work. So what we need to do now is keep the economy working, but fix the broken welfare system. And I'm going to just make this point, if you'll let me. There are some key changes I'm going to make, which is that if you come from Europe to Britain, you cannot claim unemployment benefit. If you don't have a job in six months, you'll have to return to the country you came from. You'll have to work here for four years paying into the system before you get tax credits or benefits out of the system. And while you're here, you can't send child benefit home to the family if they're living in another country. Now, those changes taken together, key welfare changes, will reduce It's not what you said last time.",['105']
500,2265,"The excerpt discusses the potential economic impacts of different political parties' policies, specifically focusing on the Conservative Party's plans.  There are mentions of taxation, education spending, healthcare, and policing, all falling under the broad umbrella of economic policy.

```json",[100],[105],"[105, 1209]","These debates are the answer to people who say that politics doesn't matter. I want to thank everybody who's been involved in these debates over the last few weeks. They show that there are big causes we can fight for. They also show that big differences exist between the parties. I know that if things stay where they are, perhaps in eight days' time, David Cameron, perhaps supported by Nick Clegg, would be in office. But I've had the duty of telling you this evening that while we have policies for the future, the Conservatives would put the recovery immediately at risk with an emergency budget. I've asked David and Nick questions all evening. David has not been able to confirm, but it is the case that inheritance tax cuts will go to the richest people in the country. I believe he's planning to cut the Schools Budget, and he hasn't denied it. I believe also that child tax credits would be cut by both parties if they came into a coalition. I believe too that policing would be at risk from a Conservative government, because they have not said they would match us on policing either. And the health service guarantees that we have that gives every cancer patient the right to see a specialist within two weeks would be scrapped by the Conservative Government if they came into power. I don't like having to do this, but I have to tell you that things are too important to be left to risky policies under these two people. They are not ready for government, because they have not thought through their policies. We are desperate to get this country through the recession and into the recovery, and that is what I intend to continue to do. But it's up to the people to decide, and it's your decision.","['105', '1209']"
502,2271,"The excerpt mentions a desire to avoid austerity measures, implying a discussion about public spending. There's also a reference to the Crown Prosecution Service, which is a government-funded entity, suggesting a connection to taxation.","[100, 1300]",[105],[105],"No, we're not going to go back to austerity. I ran a public service for five years, the Crown Prosecution Service. I know how hard it is. Thank you very much indeed. But you don't have enough money. I believe in our public services.",['105']
506,2284,"The excerpt focuses on the national debt and deficit, arguing that future generations should not be burdened with the current generation's financial obligations. The speaker uses the analogy of a credit card bill to illustrate the unfairness of passing on debt to future generations.",[100],[105],[105],"I think the only way we're going to instil optimism is if we wipe the slate clean for the next generation. We have to release Rebecca and her generation of the debt and the deficit of this generation. I don't want Rebecca, I don't want my own kids, I don't want any of our children to pay the price for this generation's mistakes. And if I can leave Rebecca and everybody with just one figure in mind, one statistic, £46 billion. That is what we as a country will spend next year just paying off the interest on our debts. Just imagine the hundreds of thousands of homes we could build for £46 billion. £46 billion is the same as £700 for every man, woman or child in this country. And that is why when I hear some leaders implying that we shouldn't somehow get rid of our deficits, I say, look, if you don't do that, it's a bit like Miriam and me saying we're not going to pay off our credit card bill and we'll get our little kids to pay it for us. It's not fair.",['105']
509,2295,"The excerpt discusses the concerns of business organizations regarding the uncertainty of the government's Brexit strategy.  They express a desire for continued trade and a ""just-in-time"" delivery system, highlighting the importance of trade and economic stability. The text also criticizes the government's understanding of industry.","[1800, 100]",[1803],"[105, 1803]",I still don't know. You know what the business organisations tell me is? They can't stand the uncertainty of this government. They can't stand the idea of a no-deal exit. They want to make sure they're able to continue that trade and continue that just-in-time delivery system that is so important in manufacturing industry. And they are constantly concerned at the lack of understanding of how industry works from a Conservative government that claims to be in support of those industries.,"['105', '1803']"
511,2299,"The excerpt discusses international conflict, specifically the Israeli-Palestinian conflict, and the need for increased defense spending.","[1900, 1600]",[1608],[1608],"Yes, Omar, it's an awful situation. And I'm pleased, actually, that Keir Starmer supported, alongside me, Israel's right to defend itself in the face of the atrocious attack that they suffered. But right now, you're seeing that US have put a deal on the table, which we strongly support, together with our allies, to bring an immediate end to the hostilities, release hostages, get more aid in, and then build towards a lasting settlement with a two-state solution. We've led in providing more aid to Gaza, something I'm proud that we've done. Our troops have helped build the port that's being established. But more generally, the world is a more uncertain place. What Hamas is doing is indicative of the dangers we face, which is why I've made the bold decision also to lead, to increase investment in our country's defence, because I think that's necessary to keep you safe, everyone safe. It's something that the Labour Party have not matched.",['1608']
513,2304,"The text discusses the international community's reaction to a situation, specifically mentioning the UN Security Council and the UN in general. This points to a discussion about international relations and global cooperation.


```json",[1900],[1926],[1926],"What's the difference? No, the position was not the same, because the international community was so shattered, not just at Security Council level, but within the UN generally. OK, you, sir.",['1926']
514,2305,"The excerpt discusses increasing healthcare spending to reach the EU average, implying a need for more public funds. It also contrasts this with the alternative of private medical insurance. This points to discussions about the National Health Service (NHS) and its funding, falling under the ""Health"" and ""Macroeconomics"" supercategories.","[300, 100]","[105, 301]","[105, 301]","We didn't have to for the commitments that we had, but it's true. We got the report that said, if you want to get your health service spending up to the European Union average, you're going to have to put more money in. Now, even with that additional money, I think it's worth just pointing out that the National Health Service, as a result of that, is getting the largest increase investment it's had since it was created. And I think the National Health Service is improving as a result. And that is surely better than going down the path of forcing people to take out private medical insurance.","['105', '301']"
515,2307,"The excerpt discusses the topic of government spending cuts and their potential impact on public services, particularly the National Health Service (NHS). It also mentions a specific policy proposal by the Conservative Party (represented by Mr. Cameron) to double the cuts, which is framed as potentially harmful.  There is also a mention of borrowing more money.",[100],[105],[105],"You and other audience members, and it goes back to Elizabeth's question, will have to make a choice. There are some parties in this election saying no cuts at all. I'm not saying that. Mr Cameron, or he didn't say this earlier, wants to double the cuts next year. It's not just the same cuts as in the last parliament, double the cuts. Now I think that would be incredibly dangerous for our National Health Service. Because you want to borrow more.",['105']
517,2318,"The excerpt discusses immigration policy, including visa reductions, salary requirements for work visas, and the potential for a legal cap on immigration. There are also mentions of the Labour party's stance on immigration.

```json","[200, 100]",[105],[105],"Harry, let migration leave. Can you name me a single other year ever where we have reduced the number of visas by 30%. These numbers are on your watch, but it's clear that you were coming into slightly late to this. No, you just said... You just said... So, whose fault is it that it's so high? I've been Prime Minister for 18 months. So, Lestrade's fault? Was it Boris's fault? The numbers were too high. Whose fault was it? Well, the numbers were too high. Oh, go on. If it's not your fault, whose fault was it? Hang on. Well, obviously, the numbers are too high. I've got the job and I've brought them down. And you just said, oh, no, you haven't done very much, and said, tell me another year where someone has reduced the number of visas issued by 30%. Never happened in our country before, because I took strict action. I'll give you one example. We raised the salary that you need to earn to be able to come here to work to £38,500. We've made the very reasonable point that actually if you're going to bring your family dependents to this country, you should be able to support them. Economically, again, I think that's a relatively common-sense, reasonable approach. We've tightened up the social care visa, the student visa, where people were bringing lots of dependents to our country. They weren't working. They weren't accounted for. I made all those changes. The numbers are forecast to halve in 12 months as a result of them, right? And I want to go further with a legal cap and give you the guarantee that they will keep coming down. Again, the choice for you at this election is everything that I've just said, or a Labour party that opposed all of those things, no cap, and Keir Starmer, who, back in the day when he was running to be leader, said he wanted to bring back free movement of people.",['105']
518,2319,The excerpt discusses the need for government spending on housing and the desire to improve the future for young people. There are also mentions of the current economic situation and the need to rebuild.,"[100, 1300]",[105],[105],"The Chancellor says the money's been spent. It isn't there, Prime Minister. The money isn't there. The Chancellor, not me, your Chancellor said the money's been spent. No, that's not what he said at all. You can't fund things from nothing. The money has been spent. And this is why, if we go on for another five years like this, we're going to end up exactly where we are now, or in a worse place. We have to turn the page and start rebuilding. And that means building those 1.5 million houses. And that's what we're determined to do with a strong plan behind it, already talking to the partners who will build those houses with us, because I'm absolutely determined that every single young person in this country under a Labour government will feel that the future is better for them. For my parents, it comforted them, even though they had tough times as parents, they didn't have a lot of money, but the thoughts, the idea that it would be better for their children comforted them and made their lives worthwhile. We've lost that, and we have to get it back, because in the end, the future is about our children and young people. We have to build a country, rebuild a country, that is fit for them to live in and to absolutely realise all of their aspirations and their dreams, and I'm determined that we will do that.",['105']
526,2348,"The text primarily discusses Brexit and its implications for the UK. There are mentions of potential future referendums on Brexit and Scotland, the need to ""get Brexit done,"" and the desire to move on to other domestic priorities like education and healthcare.","[1900, 100]",[105],[105],"Well, they were given every opportunity to pass it. They were given every opportunity to pass it and they passed a law to insist that we extended beyond October the 31st. And what we have now is a situation in which the other three party leaders either want to block Brexit or absurdly want to have a second referendum on the EU without... And that's, I think, Mr Corbyn's position. It seems to have mutated tonight. He's now going to be neutral on the deal that he proposes to do. I don't see how he can do a deal when he's going to be neutral or indifferent about the deal that he wants to do. Never mind that. I do not think whatever deal Mr Corbyn proposes... I don't think it's sensible. for this great country of ours to spend next year in yet more delectable disputations about the EU, and then another referendum, if I understood correctly what happened earlier on, another referendum on Scotland. How can that be right for our country? I want next year to be a fantastic year for our country. We're a very ambitious, one-nation Conservative government. We have amazing plans for this country, investing in education, investing in health, and that's what we want to get on with, and we need to get Brexit done to do it.",['105']
529,2359,"The excerpt discusses the need for immigration control measures, including a cap on immigration and a dedicated border police force. It also mentions concerns about the current immigration system being abused.","[200, 1200]",[1209],[1209],"Well, I think a cap is necessary because we're not going to control immigration unless we actually take some quite positive and concrete steps. And I think we let down everyone if we don't do this properly. I was in Plymouth recently and a 40-year-old black man actually made the point to me. He said, I came here when I was six. I've served in the Royal Navy for 30 years. I'm incredibly proud of my country. But I'm so ashamed that we've had this out-of-control system with people abusing it so badly. So if we don't address immigration properly, we're actually letting down immigrant communities as well as everybody else. So we do need a cab. As well as border controls that Gordon talks about, and I support strong border controls, I think we need to go one step further and actually have a proper border police force. So we combine at our borders customs, immigration, security and police. So we make the most of the fact that we do have policeable borders and we could stop more illegal immigration that way as well. Nick Clegg.",['1209']
530,2366,"The excerpt discusses government spending, waste, and the potential impact of reducing it on the economy and taxes. It also mentions a tax rise and its potential impact on jobs.","[100, 200]",[105],[105],"Let me take on, Robert, this argument directly. The idea that if you cut waste this year, you endanger the recovery. Now, just this week, we've seen two, I think, pretty hideous waste stories. The first is that civil servants have been given credit cards, funded by the taxpayer, to go out and spend that on food and wine and other things, and that's cost a billion pounds. The second story was that managers in the National Health Service, many of whom are paid over £250,000, have had a 7% pay rise. Now, are we honestly saying that if you didn't have that sort of waste, that sort of excess, that our economy would collapse? I think it is nonsense. It's like saying that giving up smoking is somehow going to be bad for your health. Giving up waste would be good for our economy and it would mean that we could stop this tax rise that's coming down the track that Britain's biggest business leaders all say will cost jobs. Cut the waste, stop the tax. That's the right answer.",['105']
532,2382,"The excerpt discusses a trade deal negotiated by Boris Johnson, implying a focus on international trade agreements and potentially economic consequences. There's also a mention of a previous disagreement about the deal's achievability, hinting at political debate and potential criticism of a specific politician.","[1800, 1900]",[1803],[1803],"Nicola, we had this debate. We got a deal. Well, you didn't answer it then. No, no. We got a deal. You said, and I quote, you said it would be unachievable. Nobody thinks. You said it would be unachievable, your words, for Boris Johnson to get a new deal. But he did achieve. I'm talking about the future trade deal. Hang on. He did get a new deal, and you were wrong then. Do you concede that you were wrong? He did get a new deal.",['1803']
533,2383,"The excerpt focuses on housing affordability and policies aimed at assisting first-time homebuyers.  The speaker mentions ""Help to Buy"" and abolishing stamp duty for first-time buyers, both of which fall under housing policy. There is also a mention of saving for a deposit, which is a key barrier to homeownership.


```json",[1400],[1410],[1410],"Everyone who's had the opportunity to own their own home remembers what it feels like when you get the keys to your first flat. And it's an incredibly special feeling. I believe in a country where all young people can aspire to that and realise that ambition. It's a very special thing. I know it's too hard. Of course, it's become too hard to buy your own home. I've got two very practical, specific things that we will do, if I'm your Prime Minister, which will help make it easier. The first is to reintroduce a new form of help to buy. You may remember this. It means that you won't have to save for the entire deposit. just 5% and then you'll be able to get a help to buy loan from the government which covers another 20% so that potentially can save you tens of thousands of pounds. And the second thing that we will do is effectively abolish stamp duty for first-time buyers. For the vast vast majority of first-time buyers we will abolish stamp duty. Those are two very practical things that will save you thousands of pounds. Now, the reason that's important is, when I talk to people like you, the most important thing they tell me is, how can you help me with a deposit? Because, actually, I'm probably OK and into a decent job, and I can probably afford the mortgage. Right, that's actually similar to my rent, but what I can't do is save up for the deposit in time.",['1410']
535,2386,"The excerpt discusses the national debt, government spending, and the need for budget cuts.  There are explicit mentions of debt levels, spending increases under a previous government, and a comparison to credit card debt. The speaker also mentions cutting foreign aid, which falls under the category of government spending.",[100],[105],[105],"I'm sorry, I'm hearing half the panel saying that we have no economic problems with debt at all, and the other half of the panel saying that they've been prudent in government. Look, there's no question that spending got completely out of control under Labour, and there are many that thought this coalition would bring it back under control. We have doubled the national debt in the course of the last five years. Our debt repayment is bigger than our annual defence budget, and that's with interest rates close to zero. We have a massive problem here, and it seems to me that nobody's prepared to admit that what we've done is we've maxed out the credit cards. Yes, there's growth in the economy, but actually, at some point, we've got a dreadful debt repayment problem. We've got to get real, and we can cut budgets like foreign aid with, I think, popular public support.",['105']
536,2390,"The excerpt discusses the state of the economy, attributing its problems to austerity, Brexit, and the political parties' lack of honesty.  There are mentions of government spending cuts, the impact of Brexit on food prices, and calls for rejoining the single market and freedom of movement.

```json","[100, 1300, 1900]",[105],[105],"Look, I'm incredibly sorry to hear about the challenges that you've faced and it's the same for millions of people right across these aisles and it's simply not good enough. We know the damage that the Tories have caused to the economy as a result of Liz Truss's But I'm afraid the challenges facing the economy are much deeper than that. Firstly, there's austerity. 14 years of austerity. And I must re-emphasise the fact that there's £18 billion worth of cuts baked in, which neither the Labour Party nor the Conservative Party are being honest about. Instead, they're having the worst of Westminster argument between them tonight, instead of being honest with you about the fiscal outlook going forward. But there's also a conspiracy of silence on one other issue. And that's Brexit. Because Brexit has impacted the economy more than the COVID pandemic. It has put your food bills up completely unnecessarily. It has been an unmitigated disaster for the economy. And... And that... That is why, at this election, you need to ignore the snake oil salesmen who delivered Brexit, and you need to challenge the Labour Party and the Conservative Party about why they aren't seeking to rejoin the single market, why they aren't seeking to double down on making sure that we return to freedom of movement, and why we aren't investing in our renewables future.",['105']
537,2393,"The text focuses on government spending and debt reduction, indicating a discussion within the 100 (Macroeconomics) supercategory.  The mention of ""austerity"" and ""cuts"" suggests a critique of current economic policies, potentially aligning with 1300 (Social Welfare) due to the reference to ""the people"" needing a bailout and the call for investment in public services. There's also a mention of banks being bailed out, which could be interpreted as a reference to economic inequality and potentially 200 (Civil Rights).


```json","[100, 1300]",[105],[105],"Under our plans, the deficit will be cut from £90 billion to £30 billion by 2020. We see no reason to put arbitrary deadlines on cutting the deficit. The austerity experiment has failed. We were told that the deficit would be eliminated within this Parliament, yet debt has gone up. We've faced all of these cuts, so much pain for so little gain. The banks have had a bailout, it's time now for the people to have a bailout and it's time for us to invest in public services and job creation and to see an end to austerity and cuts.",['105']
538,2395,"The excerpt focuses on the speaker's campaign strategy, emphasizing the need for a strong majority to avoid compromising on their policy promises.  Key themes include the desire for a decisive government, opposition to coalition deals, and commitment to specific policies like housing, jobs, apprenticeships, and the European referendum.",[2000],[2012],[2012],"I'm going to disappoint you because look we've got seven days to go and I'm going to fight everything I've got those next seven days to get an overall majority and the reason why I think that's right is look I think a strong decisive a more accountable government where you're not trading away, that's the trouble with coalition. You've got a great manifesto, you don't quite win the election, you go into some dark room with Nick Clegg or someone else and you start giving away some of the things that were in your programme. I don't want to do that. I think I've got a great programme about building these houses, creating these jobs, funding these apprenticeships, helping people with pensions. And crucially, this European referendum, which I've said absolutely that is a red line, I don't want to give any of these things away. So I'm going to spend the next seven days flat out for victory, and if enough people watching this programme are back at home, back me, we can have that victory and have the whole of the manifesto rather than have it bartered away in a darkened room.",['2012']
542,2404,"The excerpt discusses the deficit and proposes alternative economic policies.  The speaker criticizes austerity measures and advocates for modest spending increases to invest in infrastructure, skills, innovation, public services, and poverty reduction.",[100],[105],[105],"Johnny, cutting the deficit is important, of course it is, but economic policy shouldn't be an end in itself. It should be a means to people living better lives. And the fact is, austerity is pushing people into poverty. It's undermining our public services and it's holding back economic growth. And when economic policy is doing all of that, that policy needs to change. So I don't agree with the cuts proposed by the Tories, Labour and the Liberal Democrats. I take a different view. We should have modest spending increases over the next Parliament. It will take slightly longer to eliminate the deficit completely, but the deficit would continue to fall in each year of the next Parliament. But crucially, that alternative plan would mean that we had resources to invest in infrastructure and skills and innovation, the things we need to get our economy growing, resources to invest in our public services and in lifting people out of poverty. That kind of alternative plan must be better than a blind commitment to austerity that doesn't take any account of the damage being done to our society.",['105']
543,2405,"The excerpt discusses the need for parity in funding for mental health, physical health, and social care. It criticizes Labour for unrealistic promises of increased spending and the Conservatives for cutting NHS funding. This points to discussions about national budget and healthcare reform.","[100, 300]","[105, 301]","[105, 301]","Yeah, absolutely. I mean we need parity of esteem with mental health and physical health and also social care as well. Three strands of the health service. And I think that's something that we all agree on across the political spectrum. But I've heard a bit of unreality here from the two main parties. I mean Labour seems to have a magic money tree which doesn't exist and they're not going to. Jeremy Corbyn comes out like Santa Claus saying I'm going to give this and I'm going to do this and I'm going to do this but there's no money there to do all of these things. The Conservatives, you know, talk about having a strong economy but they're cutting the NHS to the bone.","['105', '301']"
549,2431,The text discusses the impact of migration on the economy and communities. It argues that migration is positive and that the government should invest in public services to support integration. The text also criticizes politicians who scapegoat immigrants. This points to discussions around social welfare and civil rights.,"[100, 200]",[105],[105],"Thank you very much. Carla Dania. Christine, you're right. Our economy needs migration. Migration does change communities. In my view, that is a positive. However, I understand it can be unsettling, especially when change happens fast. And it can be particularly unsettling when the government doesn't invest properly in our public services. We think it's shameful when some politicians scapegoat the people who become our neighbours, our friends, our colleagues, to distract from their chronic underinvestment in public services. The solution isn't scapegoating or pulling up the drawbridge. The solution is investing in our communities to make sure everyone has access to the services they need. My party will never engage in that scapegoating rhetoric.",['105']
552,2445,"The text discusses the Conservative party's stance on renegotiating the UK's relationship with the EU and the potential for a referendum.  There are mentions of leaving the EU, staying in the EU, and transferring powers to the EU.","[1900, 2000]",[2012],[2012],"The Conservatives now say they want to renegotiate but they won't tell you how they'll renegotiate. They float different dates about when they want to have a referendum. 2017? No, sometimes they say 2016, sometimes they say they're going to leave the European Union if they don't get what they want, sometimes they say they'll stay. I don't know what they're going to think on Europe next Tuesday, let alone on May the 8th. I think there should be a referendum, I say this as a pro-European, whether we stay in or when we go out, where new powers are given up by us as a country to the European Union in the future.",['2012']
555,2455,"The excerpt discusses the renewal of the Trident nuclear missile system, comparing its cost and effectiveness to other potential threats like terrorism. This primarily falls under the category of Defence and International Affairs.

```json","[1600, 1900]",[1610],"[1610, 1926]","It's really important to get it right. then believe the several generals who wrote just this week in the newspaper saying precisely what I've been saying all along, why take a decision now to commit that amount of money on replacing an old Cold War nuclear missile system when that system has still got several years to run, when those military people themselves say that there are cheaper and better alternatives, and of course most importantly when the world is changing. President Obama said last week, I think quite rightly, that now the greatest threat to us is not the Cold War threats of old, it's terrorists getting hold of dirty bombs. Trident isn't going to help you with that. So let's move with the times, take decisions when we need to take them, and at least have this review, which I talked about after the election, where we then consider everything that is possible.","['1610', '1926']"
556,2456,"The excerpt discusses the need for increased funding for the National Health Service (NHS). This implies a discussion about public spending and taxation. Additionally, the text mentions that the NHS is underfunded compared to other countries, which could be interpreted as a statement about the government's handling of social welfare.","[100, 1300]",[105],[105],"You know I didn't. So what we've got here is you see the professionalism and the decency of those people, but have we got the best funded health service in the world? No, we haven't. We spend less on our NHS than in Portugal, than on Spain, than on Greece. It's important that we put a penny on income tax to fund the National Health Service and the recovery of it.",['105']
559,2466,"The excerpt discusses the Prime Minister's actions in office, specifically mentioning visits to hospitals and schools and a commitment to increasing education funding. This points to the supercategories of 1200 (Law, Crime, and Family Issues) and 600 (Education).  The mention of ""levelling up funding"" and ""putting more money into schools"" suggests a focus on 600 (Education) and specifically 602 (Elementary and Secondary Education).","[600, 1200]",[602],[602],"I want you to know that I have been in office for about 120 days or so as Prime Minister. I do understand, I have been to many hospitals and many schools in the time I have been Prime Minister. I have talked to nurses and doctors and teachers about what is going on in their schools. That is why I We're now levelling up funding for education across this country, putting more money into both primary and secondary schools, and I want to see that going directly to your school. But I just make the crucial point...",['602']
560,2471,"The text discusses the importance of leadership, specifically referencing the current Prime Minister's actions (or lack thereof) regarding a potential EU referendum. It also mentions the Green Party's stance on the EU referendum and their proposed solution.","[1900, 2000]",[2012],[2012],"I don't know why I'm moving. I think the first rule of leadership is to show up. You don't call a general election. You don't call a general election and say it's the most important election in her lifetime, and then not even be bothered to come and debate the issues at stake. Now, I feel quite unique here tonight as a co-leader, and I'm proud that the Green Party pioneers new ways of doing things. We want to see job sharing in all kinds of aspects of our lives, because we believe that two heads are often better than one, And so I'm very happy to be there with my co-leader, Jonathan Bartley. But what leadership is about, it is about listening. It is about recognizing that all of us have leadership qualities. And in particular, I think it's about trusting the public. And on that issue, I do not understand why this government will not allow the people to have the final say on the EU referendum. Why can we not have a ratification referendum when we see the final deal of what Theresa May or whoever it is brings back from Brussels? Why can we not trust the British people to have that final say? If they like what they see, that's great. But if they don't, the way to have another look at that is by voting Green, because we will say on that ballot paper that you should have the right to remain in the EU if that's what you choose when you see the small print. Because since this referendum was called, We have so many lies told.",['2012']
561,2473,"The excerpt discusses international relations, specifically the UK's global standing and its impact on issues like climate change and poverty. It also touches on foreign aid and the UK's commitment to it compared to its spending on nuclear weapons.","[1900, 100]",[105],"[105, 1926]","Try and take photos of these questions if you like. Hamza shows an admirable concern for the wider global issues which are going on. If you look at Mexico today, for example, or previously in Venezuela, or coming out of Africa, and it's the same thing that underlies the concern about climate change, which is inequality of resources and poverty throughout the world. That's what's driving it. And if you want to have an influence on that, you have to have some moral authority behind you. And the UK doesn't. During the Brexit time, they struck deals which he did not believe they would even want to fulfil. He said that afterwards. Boris Johnson said he struck a deal and had no intention of fulfilling it. So the level of trust, the level of regard for the UK is diminished hugely and that's detrimental. And of course, the other side of it is real money going into foreign aid and support. rather than spend £3 billion a year on nuclear weapons with the new Trident, why not spend it on trying to reduce inequality around the world? And in Scotland, the only chance you've got to come out of the Brexit fix in which you've found yourself is to vote SNP. Chris Philp.","['105', '1926']"
