id,llm_reasoning,claim_labels
416,Extracted via Regex (JSON was broken),"[200, 207, 100, 107, 300, 301, 100, 108]"
429,Extracted via Regex (JSON was broken),"[300, 301, 100, 104, 100, 105, 100, 107]"
432,Extracted via Regex (JSON was broken),"[300, 301, 100, 107, 100, 105, 300, 301, 100, 105, 300, 301, 100, 107]"
447,Extracted via Regex (JSON was broken),"[100, 104, 100, 107, 100, 104]"
455,Extracted via Regex (JSON was broken),"[500, 502, 1300, 1302, 100, 108, 200, 202]"
484,Extracted via Regex (JSON was broken),"[1200, 1207, 1205, 1203, 1204]"
624,Extracted via Regex (JSON was broken),"[100, 108, 100, 107, 100, 105, 100, 101, 100, 104, 100, 103, 100, 107]"
628,Extracted via Regex (JSON was broken),"[300, 301, 100, 107, 1300, 1302, 1400, 1401]"
671,Extracted via Regex (JSON was broken),"[1300, 1302, 100, 108, 200, 201, 200, 202, 200, 202, 200, 202]"
737,Extracted via Regex (JSON was broken),"[700, 709, 600, 606, 100, 105, 800, 806]"
748,Extracted via Regex (JSON was broken),"[1000, 1001, 700, 705, 500, 502, 100, 105]"
998,Extracted via Regex (JSON was broken),"[1600, 1603, 1608, 1608, 1608, 1300, 1303, 1303, 2000, 2011]"
1222,Extracted via Regex (JSON was broken),"[1203, 344, 1207, 344, 1203, 344]"
1361,Extracted via Regex (JSON was broken),"[100, 107, 1300, 1302, 300, 301, 700, 709, 200, 201]"
1420,Extracted via Regex (JSON was broken),"[1200, 1209, 500, 502, 1300, 1302]"
1426,Extracted via Regex (JSON was broken),"[500, 502, 100, 105, 500, 502, 1300, 1302]"
1756,Extracted via Regex (JSON was broken),"[1300, 1307, 2000, 2012, 1300, 1307, 2000, 2012, 1300, 1307, 1300, 1307, 1300, 1307, 2000, 2012, 1300, 1307]"
2601,Extracted via Regex (JSON was broken),"[100, 107, 100, 105, 400, 406, 500, 502, 200, 230, 100, 107, 100, 105, 2000, 2011]"
3070,Extracted via Regex (JSON was broken),"[100, 107]"
3356,Extracted via Regex (JSON was broken),"[100, 103, 200, 201, 100, 105, 100, 107, 100, 105, 500, 502, 100, 105]"
