text,claim_labels
"It was inclusive language at a meeting in which I was promoting the idea of a two-state solution, in which I was promoting the need for dialogue between Israel and all aspects of Palestine, including Hamas, as well as including Fatah. I think to bring about a peace process, that is important. Do you know what happened last night in Tel Aviv? It was a very large demonstration of people wanting a peace process and a dialogue. I think Those are people you've got to work with. You've got to work with people often you don't agree with and don't like.","[1900, 1920]"
"We debate in the House of Commons 146 times. And I would have voted for you. We debate 146 times in the House of Commons. It's not always that instructive. Actually, I think this is giving you the chance to ask questions directly. I actually think this is more powerful than a television debate.",[]
"From the 1951 convention, that's what I'd do.",[]
No.,[]
"Because in the end, people have got to make a judgement about this. This was not an easy decision to take, it was a hard decision.",[]
Because I think working people are paying too much... OK. And I think paying far too much tax in recent years.,"[100, 107]"
"Tim, let me be very specific on that, Tim. We were wrong.",[]
"What, what you. Hang on, what you can say is, how people are applying for asylum, month by month. How many people are you removing","[200, 230]"
"Kirsten. Thank you very much for that question. I have in my team, as partners with me, very, very good, strong women that will deliver for the country. Rachel Reeves would be the first woman Chancellor if we're elected into government. She worked, as you know, in the Bank of England and is very, very keen and strong on the fiscal rules and what we need to do for our economy. I've got Angela Rayner, my deputy, who, again, has an incredible background, coming from a difficult background, where, you know, was a care worker for many years, and now deputy leader of my party. And I'm very proud of her. And, you know, these people, and there are plenty of others, Yvette Cooper, Bridget Phillips, and you name it, really good, strong women who will be part of my team. I think that leadership is about empowering your team and making sure it's a team on the pitch. that are all batting and working together. And that's the way I lead, not suggesting for a moment that I'm the one with all the answers, but knowing that if I lead my team and bring my team into this, and we work as a team and we'll serve as a team if we get the opportunity to do so, I will do it with some really fantastic, wonderful women who have been on this journey for me for four and a half years, changing our party to put it before the country with that, you know, essential principle, country first, party second.",[]
Yes.,[]
"What about the threshold for allowing people in to work? How does ever increasing that threshold help hospitality businesses, for example, who need to bring people in, who aren't going to be on that kind of salary but are needed? I've got restaurants in my constituency who are unable to find people to work because it was Brexit. Hospitality depended on so many people...","[200, 230]"
"Yes, we can't do everything that's...",[]
"Well, I don't know who you're referring to, but what it shows to me is that we need to move on as a country, because there are plenty of people who are irreconcilably opposed to Brexit. And I think that actually what we should do is respect the will of the people. People talk about trust in politics. Look at the promises that were made. repeatedly by Mr Corbyn, by all the other parties, that they would honour the referendum result. They're refusing to do it. Here we stand at this critical moment in our country's history. It's our chance on Thursday to honour our democracy and get Brexit done.","[1900, 1910, 2000]"
"What is chaotic? What is chaotic, Amber, is you and UKIP arm in arm. It is a thickening prospect. And you stood on a platform just about a year ago saying that you thought that Britain would be safer, stronger and better off in the EU. Now were you wrong then or are you wrong now? Because we can't trust you on this.","[200, 1900, 1910]"
What's your name?,[]
What I'm interested in,[]
"Yeah. So, actually, I've been everywhere across the country talking to young people about it. and talking to parents about it, and I've heard an enormous amount of support for it. And I'll tell you why. I was with someone just the other day who I'd seen in the evening, someone in their early 20s, probably not that dissimilar in age from you, and they were telling me about something that had just happened to them that afternoon. They had seen an elderly person fall and... damaged their hip quite badly, and because they had volunteered with St John's Ambulance, they were able to help that person and be with them, give them some sense of reassurance, get the ambulance there, and that person was incredibly grateful. And then I was talking to this person a little bit more, and they were explaining how they'd got into St John's Ambulance because they'd been through a difficult time in their lives, and it was something that they did to give them a sense of purpose and contribution to society, and they found it a really fulfilling and meaningful experience, as well as, in that case, giving them some skills, practical skills, that have allowed them to help other people in their life. And that's why I think national service is a good idea. That one person's example is a great reason to spread this to as many people as possible, make sure everyone can have those skills and opportunities, have a sense of contributing to something bigger than themselves. I think that gives people meaning and purpose, and also contribute to our country's overall resilience and security. And that's why, as I said, that one story encapsulates, I think, very well why this is a great idea.",[]
"Well, I think that we have an existing relationship with the EU. And as a result, we have freedom of movement. And I'm very proud to stand up for freedom of movement. I think it's been an extraordinary gift to this country to be able to travel and study and live and love in 27 other countries. I think it's been an extraordinary gift for people from our country to go there and for them to come here. So I'm proud to stand up on this platform and to say that I believe in the power of freedom of movement. And I think it's a positive thing. What I also think","[200, 230, 1900, 1910]"
"Well, I think every country has to make sure its border is properly regulated and monitored, that we don't have people coming into the country who have no right to be here. So I think everybody accepts strong and effective immigration controls. But we need to make sure that we have immigration that is right for our economic needs. When you pander to UKIP, you often end up making the wrong choices. One of the changes that the Tories made after they were elected in 2010—I hope Ed will reverse if he becomes Prime Minister—was to take away the post-study work visa. That means that students who come here from overseas, whom we help to educate, whereas previously they could stay here for a couple of years to give something back to our economy, now cannot do that. So we deprive ourselves of their economic contribution, and we are hurting our universities into the bargain. I know people's concerns are real. I represent a constituency in Glasgow with high levels of Eastern European immigration. I know the pressures on housing and public services and the exploitation that many immigrants face, but the answer to that is to crack down on the bad landlords and the gangmasters. It is to build more houses and invest in our public services. We're a nation of immigrants as well as immigrants, and we should treat immigrants the way we would want immigrants from our country to be treated wherever they go to settle.","[200, 230, 1900, 1910]"
I really believe it would work.,[]
"David Cameron, thank you.",[]
"What will you do on a date after a drink, Nigel? I'm sure you've lived the purest life of anybody. Come on, it's not purity to you. I've never said a word wrong about anything, anywhere. Nicola Sturgeon. I'm sure you're absolutely right. I'm sure you're absolutely right. I'm sure you're absolutely right. I'm sure you're absolutely right. I'm sure you're absolutely right. I'm sure you're absolutely right. I'm sure you're absolutely right. I'm sure you're absolutely right. I'm sure you're absolutely right. I'm sure you're absolutely right. I'm sure you're absolutely right. I'm sure you're absolutely right. I'm sure you're absolutely right. I'm sure you're absolutely right. I'm sure you're absolutely right. I'm sure you're absolutely right. I'm sure you're absolutely right. I'm sure you're absolutely right. I'm sure you're absolutely right. I'm sure you're absolutely right. I'm sure you're absolutely right. I",[]
"And that one wasn't. Yeah, they do need to be right and they need to be clear what it is representing. I absolutely, absolutely take that point. But I mean, on that wider issue of trust, look, we absolutely got it wrong on tuition fees and, you know, I do apologise that we got that wrong and that we did that. What I think we have been doing in the last three and a half years is standing really clearly as a pro-European, pro-Remain party. And we've not wavered from that, we've absolutely set that out, and that is what is at the centre of our manifesto this time. So you can see that we are sticking to our principles and what we believe in.","[1900, 1910]"
"Come on, John, just answer that one. You're asking me a very controversial question.",[]
Absolutely.,[]
At some point in the year to set a limit for 2006. And we will have ample time to consult the CBI and the employer's organisations (overlap),"[100, 107]"
"Let me answer the question. You're reminding me of Gordon last week. It's like another replay. The fact is, every year, you need to talk with the health authorities, the housing authorities, the education authorities, and business, and set a cap to achieve a very big reduction in overall immigration levels. That can be done. We've done it in our past. We can do it again in our future. What's required is political will from a party that's prepared to make a difference.","[200, 230]"
"First of all, can I just say I'm not refusing to take part in debates because I'm here answering questions from you, this audience, this evening. And that's what I think is important in an election campaign. It's not politicians arguing amongst each other, but actually listening and taking questions from voters. And you mentioned about saying I wouldn't hold an election and now holding one. You're right. I thought we needed a period of stability when I became Prime Minister. But what became clear to me when we went through the Article 50 process to trigger the process of leaving the European Union, to respect the will of the British people, was that other parties wanted to frustrate those Brexit negotiations and wanted to frustrate that will of the people that had been expressed in the referendum vote. And, you know, it would have been easy. I could have said, OK, I'm Prime Minister. There's another couple of years going. Why don't I just stay and hang on in the job? But I didn't do that. I've called an election because of Brexit. I was willing to do that because I think this is a really important moment for our country. We've got to get this right. If we get it right, I'm optimistic for the British people because I believe in the British people. But we need to get it right.","[1900, 1910]"
We didn't lose the battle.,[]
"(takes breath) No. I mean I - well. We, we have a review in to the council tax and what's the right way to replace it, so you can't as it were foreclose options but for, for me the local income tax has always been a problem because it's all very well for the Lib Dems to say get rid of the council tax and everyone says, well that's fantastic, but if you're a two earner or three earner household, you're going to pay a lot more money under local income tax.","[100, 107, 1300]"
"We need strong controls on immigration. Of course we do. And we need to make sure that people don't get away with abusing the system that the rest of us pay for. And yes, there are parts of the UK where housing and public services are under real strain. But I think the answer to that is to build more houses and invest in our public services, not to scapegoat immigrants. I fear that the debate at Westminster on immigration is driven far too much by Nigel Farage. and UKIP. It is important that we remember some key facts. EU immigrants to our country make a net contribution to our public finances. A clear majority of migrants work and pay taxes. A majority of those who don't work are students. And of course, hundreds of thousands of people go from this country to other countries all of the time to live and settle there. How would we feel if they were spoken about the way we sometimes allow migrants here to be spoken about? So let's have the debate. Let's not duck the issues. But let's make it civilized and not have it driven by the intolerance of Nigel Farage and his colleagues.","[200, 230, 1900, 1910]"
People voted to leave the single market. It was clear on the day that leaving the European Union meant leaving the single market. It wasn't.,"[1900, 1910]"
"The first thing I would do is I would argue, as we argue in our manifesto, for us to rejoin the European Union, because that, I think, is the source of the problems in the manufacturing sector.","[1800, 1900, 1910]"
"I think it does. And I think it very important. I think it very important to hear from, I've been very clear about the deal that I've done. There it is. It's in black and white. You can read it. We don't know. We don't know what Mr. Corbyn is proposing. It's not just about Brexit. He won't come clean. He won't come clean with the electorate about what he is proposing to do. Mr. Corbyn, allow Mr. Corbyn to respond, please. Thank you, Mr. Johnson.",[]
We haven't got a number yet that's because,[]
"Well, my view about this is that if you're running a fair society in this country, and if you are taxing that very small percentage at the wealthiest end that bit more, the way in which we achieve a sense that we're in it together in this country, whatever our income or backgrounds or aspirations, is that you spread the benefits right across the board. somebody kindly mentioned about us becoming a family within the last couple of weeks. Now my wife and myself are lucky in the sense that academically we got the opportunity to go to university and we got degrees and that's helped both our lives and careers subsequently. But that same night in that same hospital There were people without, perhaps, university degrees, perhaps not aspiring ever from their backgrounds to have had that opportunity, but they benefit, just as we did, from the clinicians, the consultants, the doctors that, as a society, we've invested in to give that knowledge and that skill base.","[100, 107]"
"At a time when real incomes are going down. So isn't that all the more important that we're very, very clear that what we're doing is something that's going to make a massive difference. You can do banal offers that you know you're never going to keep, or you make a commitment that is fully... Well, you tax the rich.","[100, 107]"
"You keep on saying, Richard, how disappointed you are in me. Not half as disappointed as I am in your government in Wales.",[]
"in relation to this.  BOTH TOGETHER  No, I, I, I, I've said what I've said, and I feel desperately sorry for his family and indeed for the terrible ordeal that they were put through but as I said at the time, and again this has been gone in to time and time again, I, if we had concealed the fact, cos this whole row was about, erm, the information that as you know, we've been over this many many times, had been given to the BBC reporter, he had then come forward and said to his superiors, this is me, I think it's me who's responsible for having given this story. There was a Foreign Affairs Select Committee Report going at the time, I think if we'd concealed that from people, we would have been subject for a different to a different  BOTH TOGETHER",[]
"Jeremy, you have a Labour government. in Wales and they aren't doing those things. You have a Labour government in Wales that is charging students to go to university. Why are you saying this here when you have an example of a Labour government and it's not doing that?","[200, 600, 601]"
We said it. We want to. We said it in our manifesto.,[]
Let's refocus this.,[]
"I do, but there we go.",[]
I don't think it's going to be about paying over money to get a deal. What I think is important is that... You're not prepared to pay anything.,"[1900, 1910]"
What were you trying to say to the Chief Secretary?,[]
30.,[]
"Well, we want to get the number down, so we'll see if that number is coming down.",[]
Well these are people who've paid their taxes.,"[100, 107, 1300]"
"Here they go again. Look, tax credits, which Gordon Brown has rightly raised, because tax credits are really important. I think it's just... I just don't think it makes sense, really, at a time when money is tight, that someone even on my salary, which is a really good MP salary, could be entitled to the family component of tax credits. I don't think it's right to have tax credits going so far up the income scale. Why don't we say not for the top 20% of recipients? You can then target tax credits for people who need it. And the other thing I would say about tax credits is this, I've now had enough people in tears in my constituency office where I'm an MP in Sheffield, because they've been given money one moment, they've spent that money on the children, on the heating bills, and then suddenly they get a letter, out of the blue, from the Government, saying you've got to pay the money back. That is so unfair on particularly single parents and single mothers, for whom the tax credits are an absolute lifeline. That's why I think tax credits should be given in six-month blocks.","[100, 107]"
"Jo Swinson. Boris Johnson can't be bothered to talk to you tonight. He's leaving it to his cheerleader, Nigel Farage. And if they win on the 12th of December, you lose. Boris Johnson will start years of Brexit talks, stitch up deals with Donald Trump, pick on people weaker than himself and stoke divisions in our country. And that's why Nigel Farage is happy to help him win. I'm determined to stop them. We deserve better than the Farage-Johnson-Trump nightmare. Their plans for Brexit are not only about our place in Europe. They're about the kind of country we are. I love our country. Our United Kingdom. Open, fair and generous. We are stronger working with our friends than standing alone. Tackling the climate crisis, helping the vulnerable, celebrating the richness of our diversity. If you want that brighter future, vote Liberal Democrat. Rishi Sunak.","[100, 107, 1900, 1910]"
"Well, I'm not going to give you a figure on that for two reasons. First of all, because we need to go through very carefully, as part of the negotiation, what rights and obligations the United Kingdom has. And secondly, because if I gave you a figure here tonight for what I thought would be a good figure, that wouldn't be a very good negotiating stance when I'm sitting down, if I'm Prime Minister, in 11 days' time with the European Union.","[1900, 1910]"
We'll deliver on the outcome of the referendum in 2016 and leave the EU by the end of January.,"[1900, 1910]"
"Oh, first of all... It wasn't an academic point for the hundreds of thousands of Iraqis who lost their lives under Saddam Hussein. It was important for them. Now, you may say that I took the action simply for America. I didn't. I took it because I believed it was in the interest of this country. If we had backed away and left Saddam in power, stronger because we had backed away, I think that would have been bad for the security of our region and our world and therefore of this country. As I say, you can conduct this debate in whichever way you want, but I took that decision in good faith. Sometimes, when you are sitting in my seat as Prime Minister, you have to take the decision. That is the decision I took.","[1900, 1920]"
"On the 13th of December, my 84-year-old father may wake up for the 11th time in his life to a Tory government he, like the majority here, old miner that he is, has never voted for. He stopped voting Labour 2 some years ago because he realised that change will only ever come when Wales finds its voice. I really hope this is that moment for my father's generation, for my son's generation, for all our generations. Because it's when we find our voice that we will change this nation, that Wales will build a future that is better than our past.",[]
It's because I think the country has to come together and cannot keep on negotiating and arguing with itself about 48 versus 52. It has to be agreement we can reach with the EU that is credible and would maintain that trade relationship but would be outside of EU membership or full membership of the EU. That is a way of bringing people together and a government that implements that decision whatever it is.,"[1900, 1910]"
"Well, you know, when I was growing up in Ammanford, the son of a miner in the 1980s, if I wanted a political career, I should have joined the Labour Party. I joined my party, Plaid, because for me, politics isn't about a career. It's about actually what you believe, saying it clearly, and trying to make Wales and the world a better place.",[]
"No cat, no target, and no plan.",[]
"No, it doesn't indicate that cos no government has ever been able to say that. What you are able to say however, is here are the measures that we're taking to control it properly, to deal with the abuses, and you are also able to say, which I can say to you very clearly, cos we keep the proper statistics of this, is the numbers that are claiming now and the numbers that we're removing, and the way to get asylum figures down, so that it's only genuine refugees you're taking is, is to do precisely what we've done. Clean up the system, remove the, the tiers of appeal, make sure that people can't destroy their documentation when they come here and improve the removal system. We're doing all of those things.","[100, 107, 200, 230]"
"No, I called... I called a general election because I believe that the British people have a right to vote and to say who they want to see leading them through the Brexit negotiations. And I believe they should have a Prime Minister who has an absolutely resolute determination to respect their will. My party is the only party that is going to respect the will of the British people, get on with the job and deliver a successful Brexit.",[]
"Let me respond to that. At the end of the next Parliament, yes, we have had a high tax burden. Not, as I said earlier, on low- and middle-income earners, but overall it has been high. At the end of the next Parliament, on our plans, it will come down. Labour will take it to a record high. What they haven't told you in this campaign is what taxes and on what people. OK. She couldn't deny capital gains tax earlier on. She can't deny fuel duty. Thank you, Penny Mordaunt. Not only do you not listen to me, you don't listen to the public. Both Angela Rayner and Penny Mordaunt. They've doubled council tax. They've trebled it in Wales.","[100, 107]"
"Well, I don't plan any, but... Because I just crept up on you, didn't I? What I would say to you is, this country still remains one of the lowest-taxed countries in the whole of Europe. Actually, taxes as a proportion of national income is lower than most of the years Margaret Thatcher is in. And, yes, it's true, we raised national insurance in the last Parliament. That is absolutely true, to pay for the National Health Service. I don't regret that. I think it's good that we are now making improvements in our National Health Service as a result of that investment.","[100, 107]"
"If I had the power, I'd be saying that to resolve the whole Gaza situation, Hamas, a brutal, murderous terror group, must not be involved in governing Hamas. And I don't think the international community is discussing the future governance of Hamas enough.","[1900, 1920]"
Of course not. I'm an opposition,[]
"Aah (pause) It was a terrible, terrible thing to have happened. I don't believe we had any option however, but to disclose his name, because I think had we failed to do so, that would have been seen as attempting to conceal something from the committee that was looking in to this at the time. And again",[]
"I think my general approach to the question of immigration is very simple. I started with that wonderful Welsh word, croeso, welcome. I want us to be a welcoming society. Our EU citizens that are here, people from other parts of the world, they are contributing hugely to our economy, entrepreneurially, in terms of our public services. I, yes, am a strong believer in staying within the EU and, indeed, freedom of movement. I don't think you could apply the same rules exactly in terms of how you approach immigration from non-EU citizens, but I absolutely, speaking as somebody whose partner's family came in from the Commonwealth, I absolutely want to see talent arriving here from all parts of the world because we need that talent We need it in our public services and our economy too.","[200, 230, 1900, 1910]"
Thank you very much indeed. I strongly agree with what Jeremy said. Thank you. Well then you might need to make some other statements as well.,[]
"Brussels to Britain, but I want to remain a member, a member of the European Union.","[1900, 1910]"
It is absolute rubbish. You've had 14 years and net migration has gone up.,"[200, 230]"
"In the 18 months I've had the job, I've negotiated with the EU for the Windsor Framework, restored the government in Northern Ireland and strengthened our union, made sure that we are part of the horizon scheme on positive terms, warmly welcomed by the entire research community or universities. I've got a track record of doing those deals with the EU. But you just say you'll get a deal. What will it cost? You're not being straight with people. I know. What it will cost is more migration. He's not being straight with you. You think it's just magic, magic, some good thing for us, and they won't want something in return, right? It's just, again, you're taking people for fools. They've been crystal clear. The price of any of those things is greater migration. It is fundamental to how they think about it.","[200, 230, 1900, 1910]"
"Well, on the question of tuition fees, we were punished for that. That's democracy. I get that.","[200, 600, 601]"
"No, no.",[]
"I think I have explained that. You asked me a question about people giving wrong arguments and all the rest of it. Can I point out the moment, I am fairly sure, that Remain lost the referendum last year and it was the moment when George Osborne, who I should now be nice to because he may or may not print my He pointed out that if you leave the European Union, you'd lose your foreign holiday, you'd lose your savings, you'd lose your pension, you'd lose your job. There's a whole bunch of people in this country who thought, I've got none of them, stuff you. And I think we need to remember that the arguments for remain were not the emotionally inspiring ones that should have been used. If they had been deployed, we could well have won.",[]
"On the contrary. On the contrary. The whole of the UK comes out entire and perfect as I have. said, we do free trade deals together, we take back control together, we have our own immigration system for instance, we can take back control of our borders and one of the many mysteries about Mr Corbyn's deal is would he take back control of immigration, which people voted for.","[200, 203, 1900, 1910]"
"So I am the leader of the Liberal Democrats. I made a promise to my constituents by signing that pledge in 2015 to vote against an increase in tuition fees and I kept my pledge. You can argue it cost me a place as a minister during that time in the coalition government. It's important to keep your promises. It is also important to do what is right by the people that you represent. Whatever one thinks about tuition fees, I can tell you from my experience as a working class lad who got to university in the late 1980s, what helped me to get to university was the simple fact that I got a maintenance award. And that was what made the difference between me being able to afford, and my folks being able to afford, me to go to university. That is what the Liberal Democrats have committed to replacing, bringing in a £7,000 a year maintenance award, so folks like me, and many people in the United Kingdom, can actually afford to go to university. Frank Donnelly, are you convinced by that answer?","[100, 107, 600, 601]"
It's too high. I've been very clear that it's too high. And I'm sure people feel frustrated and angry about it.,"[100, 107]"
"Look, I respect what she says, and I think I welcome the debate.",[]
"Penny, you know for a fact that Brexit has wiped £40 billion worth of tax receipts out of the UK economy. You did that because you were terrified of Nigel Farage. The worrying thing for me though is, it's not Nigel, it's the silence of the Labour Party when it comes to the damage of Brexit. Silence on £18 billion of cuts, silence on Brexit. The public deserve better and the SNP will provide it.","[100, 107]"
"Well Melissa I kind of sympathize first of all with what I sense is a feeling of frustration and lots of us you know are fed up of talking about Brexit and I completely sympathize with you on that. But the truth is that if we go along with the Brexit plans we are going to be locked into this process for an awful lot longer because we can't just get Brexit done. It's going to take years to make a new trade agreement. We are just at the beginning of this. If you want to end this, the best way to do that is through a democratic way of doing it, and that's why I'm proud to be one of the co-founders of the People's Vote campaign, and we want people to be able to have that right to have their say. I do think that to go for a unilateral revocation is a slap in the face of 17.4 million people who voted to leave, so that's why I think it is important that they have You know, people do have their say in a democratic process, but more democracy can never be against democracy.","[1900, 1910]"
"I've done that, and I've done it again. You'll never take one. No, and I've done it again. I want the place abolished.",[]
"Well, I will never spread fear about immigration, because I think we just need to remember there's basically good immigration and there's bad immigration. And, Joan, in a bad immigration, of course, that needs to be stopped. That's why I've introduced new checks at the borders to bear down on illegal immigration, why I've increased the penalties against unscrupulous employers who employ people and exploit them from elsewhere, why, if people now want to seek benefits, they have to learn English. But there is also good immigration. We should remain a decent, generous-hearted, open-minded nation who welcomes people who want to come here, play by the rules, pay their taxes, create jobs, help in the NHS. If we turned everybody away, the NHS would collapse overnight. So, I guess my approach to immigration could be summarised simply as this, that I want Britain to be open for business, but not open to abuse.","[100, 107, 200, 230]"
You can't defend those comments.,[]
"So Nigel, you're making the case for why we need to put this issue back to the public, because it's this unicorn Brexit. So you're saying you can't agree with Theresa May's Brexit and then not even Boris Johnson's Brexit, and that if it was a customs union single market Brexit, that wouldn't be Brexit. I mean, the Brexiteers can't... We voted to leave. But hang on, the Brexiteers can't even agree among themselves what Brexit looks like. That's why the specific Brexit deal needs to go back to the people, because there's no confidence whatsoever that there is a majority in the public for any specific Brexit.","[1900, 1910]"
"You will find that the majority of people under our proposals, individuals, will not be paying much more in the main than 10 pounds extra. But, what you've got to do, and this is where we're also being straight about people, is to say, what else apart from the local income tax proposals do you get with the Liberal Democrat package. And I hope we can get on to that as well.","[100, 107]"
".. I'm just about, I'm just about ..",[]
"The only problem, David, is we're doing it already.",[]
I've given. Let me,[]
"When the rules on non-DOM status were changed in this country in 2017, there was no difference in who was leaving the country amongst those that were affected by that change and those who weren't.","[200, 230]"
"That would be very nice. But look, I've spent four and a half years changing the Labour Party, getting us to a position where we can put our positive case before the electorate, so I'm pleased to be doing it, but I don't take anything for granted, so every single vote has to be earned, and only be earned if we get the trust and confidence of people through our positive case for the future of our country.",[]
"Even Anne Widdicombe, you can like or dislike Anne Widdicombe, but when she says she was offered a job by your government, I think we all know she's telling the truth.",[]
"With a week to go, let's see what's going to happen. The one thing people have concluded so far in the campaign is the Conservatives can't win this election. They don't like the idea of Tony Blair back with another three-figure majority. Therefore, what are they going to make their minds up over these next few days? Increasingly, they are looking at us, and it's up to us to make the case.",[]
"No, no - just let me finish. Indeed it is, it is about judgement. We are the only party that's learned our lesson from that. We're the only party that isn't going to take the country in to the Euro which ...","[1900, 1910]"
"The choices that the last Labour government made, just like all the previous ones.",[]
Well the IFS is of course entitled to its own view and they did say about the Conservative Party's plans that they had austerity hardwired into them but the Tax Justice Network and various economists who wrote to the Financial Times did praise and endorse our economic programme.,"[100, 107]"
"Well, listen, I'm... I understand why your generation lost faith in us. It was a difficult government to be in. Explained, had choices whether we came out of it and cut from the sidelines or try to get there and win things. We didn't win everything and we lost that one. And we got punished at the 2015 election. I lost my seat along with most of the Democrats actually.",[]
"Look, I don't commentate on these things. I don't know if I can avoid it.",[]
"The reason you can't fund it is because you think that you can't fund it. Thank you, Singapore.",[]
"You can't be independent of me, innit? But isn't the real key here? Isn't the real key here? Labour's referendum would give us a choice, would it not, Richard, of remain versus remain. You don't even intend to give the voters a credible leave option, and that surely is a betrayal of five million of your own voters who voted to leave.","[1900, 1910]"
"Yeah, if those people, if there are people who come in to this country and who apply for asylum, we would look for overseas processing centres","[100, 107, 200, 230]"
"OK, yeah.",[]
"And the answer that I have given to you on the numbers of illegals here, is precisely the answer we have always given, and the last government gave.","[200, 230]"
"That wasn't the truth. I can't apologise for the truth. That wasn't the truth, Nigel.",[]
"It's simple. OK? No one is talking about this. Stocking EU migration as a whole. We want a points-based system. If there's a gap in our economy... You said you're immigration sector. No! Hang on, let me finish.","[100, 107, 200, 230]"
"I think it's up to cities, and city representatives to...",[]
"This is the Prime Minister who's been part of a government that has put up tax 26 times. The last manifesto that they had in 2019 said, we won't put up national insurance. This man then put up national insurance. He's the British expert on tax rises. They're at the highest level for 70 years. And he's got the gall to say other people are going to tax.","[100, 107]"
"Yes, and we've got to get there as a society, if we're serious about the...",[]
Shirley?,[]
"You only pay... Graduate tax. It's not a graduate tax, and let me explain why. Let me be quite clear about this. Once your income, beyond graduation, goes above a certain level, you have a £2,000 which kicks in to pay, not for the tuition you received, but it sets up an endowment fund of new money. What's the difference between that and top-up fees or tuition fees? I'll tell you what the difference is. From the point of view of the person who's paying it? If you allow me to answer the question, David, I'll tell you exactly what the difference is. The difference is this. The money doesn't go to the Scottish universities for their tuition costs. It goes to an endowment fund which enables students or potential students from poorer Scottish backgrounds to get the chance to go to university in the first place. I think that's a reasonable payback.","[100, 107, 600, 601]"
"Yes, I would be prepared to. Obviously, I would assess the situation.",[]
"OK. Well, it'll surprise you to know that my answer is no. So, Neil, let me explain why. Look, it was a difficult contest between me and David, and it was a bruising contest. Why did I stand? I thought somebody needed to lead the Labour Party who could move us on from New Labour, because I thought that was the time that was necessary for the country and necessary for our party. And I had strong views about how we needed to change the country. I think this country is too unequal, and we've got to change it. I think New Labour was too relaxed about inequality. I think we made mistakes on foreign policy, like on Iraq. We made mistakes on immigration, too. Maybe we'll come to that. But I thought I was the best person to move the party on. And I stood because that's what I felt was the right thing for the country. So I think I am the right person for the job. I thought it then, and I think it now.","[100, 200, 230]"
"Yeah, look, the reality is, under the Green Party scheme, that that will act as a magnet for more people to come here, dangerously, across the English Channel, because if you give people the right to work, then that will increase it. What we've got to do, actually, is we've got to pick people up out of the boats and take them back to France. That will stop the deaths. That's the compassionate thing to do. That will stop the illegal trade. We know it works.","[200, 230]"
"Yeah, but, Andrew, when I was going through university, there were 5% of school leavers that went through university. Right? Now it is 40% of school leavers. I put more investment, or you do, actually, as the taxpayer. You put more investment into a student's education at university than you do into a secondary school pupil's or a primary school pupil's. Even under our new system, five-sixths of the money comes from the ordinary taxpayer. I don't think it's too much, instead of taking more money from the ordinary taxpayer, to ask people, when they graduate, to pay something back into the pot. I think that's a darn sight fairer than putting taxes on the ordinary population.","[100, 107, 600, 601]"
"Where is Elisha? Oh, there.",[]
Daisy Cooper.,[]
"Well, I thought your question was about deals, and I said no deals.","[1900, 1910]"
"And again, you just won't rule out, will you accept any greater migration as the price of a deal with the EU? Yes or no?","[200, 230, 1900, 1910]"
"No, I'm not saying that. 75 million? 80 million? Come on. 95 million? 100 million? Let me say what I'm going to do. Let me say what I'm going to do, because that's what matters, rather than speculating about figures. I want to get low-skill migration down. And I think the controls we're talking about, not just on benefits, but on stopping the undercutting of wages, because people are being brought into the country to undermine the minimum wage and various other things, I think they will help to get low-skill migration down. But if what you're saying to me is, would it be better for our country, for example, to withdraw from the European Union?","[200, 230, 1900, 1910]"
"Yes, certainly. I think this may be a reference to the morning after the morning after our baby was born, which perhaps wasn't the most adept time for me to hold a 7.30 in the morning press conference. But I can give you the position... The Prime Minister had a baby when he was Prime Minister.",[]
I'm absolutely not proposing it now. I accept that point. When are you proposing it? At the end of the process. When is the end of the process? I don't know that because I'm not in charge of the process.,[]
"I don't think the position we are in right now with Brexit had to be like this. That was down to the bad planning, the lack of planning, which I don't think the proponents of independence would allow to happen. Can we hear from Rebecca Ferguson?",[]
"I'm not sure we have to, genuinely and I understand what you're saying, I get why you're saying it but actually if you had a chance to get on a lifeboat out of a sinking ship I think you would take it.",[]
I think I ought to be able to reply to this nonsense.,[]
"We should stop bad immigration, but don't paint everybody with the same brush. How? Joan's question is, how do you control immigration as an EU member? Be honest with people. We can't. Tell them the truth.","[200, 230, 1900, 1910]"
"I'm going to also ask my question to Angela. Rachel Reeves, your shadow chancellor, hasn't ruled out increasing capital gains tax. This would mean higher costs for families when they're selling their homes. Will you commit to ruling that out now?","[100, 107, 1300]"
"I mean, we've said we're not going to be taxing working people. The Tories, judging by our record, they have done that. And Stephen, I want our nations to work together. I think we're better together. And the one thing we have got in common is we need to get rid of the Tory government in Westminster. And that's why people need to vote Labour.","[100, 107, 1900, 1910]"
"Oh, I'm looking forward to this. This could be fun, couldn't it?",[]
"Adam Price. I'm going to start cycling to the Senedd every day. I'm going to shift to an electric vehicle in the new year. And also, I convinced my partner as well, we're going to give a go with reusable nappies as well to make our own small but important contribution. Are you going to wash them? Yes, yes, yeah. I think that's the point. No, I meant you. Yeah, absolutely. I do change, that means no, but the point is, you know, for him and his generation, I want to do this.",[]
We certainly are.,[]
